START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/28/21,01:05 PM,01:05 PM,Marlins at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 AM/94.5 FM HD-2",02/28/21,02/28/21,04:05 PM,04:05 PM,FALSE,TRUE,02/28/21,12:05 PM,12:05 PM,FREE,BUSY
03/01/21,12:05 PM,01:05 PM,Astros at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 AM/94.5 FM HD-2",03/01/21,03/01/21,03:05 PM,04:05 PM,FALSE,TRUE,03/01/21,11:05 AM,12:05 PM,FREE,BUSY
03/02/21,12:10 PM,01:10 PM,Astros at Mets,Clover Park - Port St. Lucie,"",03/02/21,03/02/21,03:10 PM,04:10 PM,FALSE,TRUE,03/02/21,11:10 AM,12:10 PM,FREE,BUSY
03/04/21,06:05 PM,06:05 PM,Cardinals at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 AM/94.5 FM HD-2",03/04/21,03/04/21,09:05 PM,09:05 PM,FALSE,TRUE,03/04/21,05:05 PM,05:05 PM,FREE,BUSY
03/05/21,12:05 PM,01:05 PM,Astros at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: KBME 790 (delay)",03/05/21,03/05/21,03:05 PM,04:05 PM,FALSE,TRUE,03/05/21,11:05 AM,12:05 PM,FREE,BUSY
03/06/21,01:05 PM,01:05 PM,Mets at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 AM/94.5 FM HD-2",03/06/21,03/06/21,04:05 PM,04:05 PM,FALSE,TRUE,03/06/21,12:05 PM,12:05 PM,FREE,BUSY
03/07/21,12:05 PM,01:05 PM,Astros at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"",03/07/21,03/07/21,03:05 PM,04:05 PM,FALSE,TRUE,03/07/21,11:05 AM,12:05 PM,FREE,BUSY
03/09/21,06:05 PM,06:05 PM,Nationals at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 AM/94.5 FM HD-2",03/09/21,03/09/21,09:05 PM,09:05 PM,FALSE,TRUE,03/09/21,05:05 PM,05:05 PM,FREE,BUSY
03/10/21,05:05 PM,06:05 PM,Astros at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/10/21,03/10/21,08:05 PM,09:05 PM,FALSE,TRUE,03/10/21,04:05 PM,05:05 PM,FREE,BUSY
03/11/21,06:05 PM,06:05 PM,Mets at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 AM/94.5 FM HD-2",03/11/21,03/11/21,09:05 PM,09:05 PM,FALSE,TRUE,03/11/21,05:05 PM,05:05 PM,FREE,BUSY
03/12/21,05:05 PM,06:05 PM,Astros at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"Local TV: MLBN (delay)",03/12/21,03/12/21,08:05 PM,09:05 PM,FALSE,TRUE,03/12/21,04:05 PM,05:05 PM,FREE,BUSY
03/14/21,01:05 PM,01:05 PM,Nationals at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",03/14/21,03/14/21,04:05 PM,04:05 PM,FALSE,TRUE,03/14/21,12:05 PM,12:05 PM,FREE,BUSY
03/15/21,01:05 PM,01:05 PM,Marlins at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW",03/15/21,03/15/21,04:05 PM,04:05 PM,FALSE,TRUE,03/15/21,12:05 PM,12:05 PM,FREE,BUSY
03/16/21,12:10 PM,01:10 PM,Astros at Mets,Clover Park - Port St. Lucie,"",03/16/21,03/16/21,03:10 PM,04:10 PM,FALSE,TRUE,03/16/21,11:10 AM,12:10 PM,FREE,BUSY
03/17/21,06:05 PM,06:05 PM,Cardinals at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KTRH 740 AM/99.1 FM HD-2",03/17/21,03/17/21,09:05 PM,09:05 PM,FALSE,TRUE,03/17/21,05:05 PM,05:05 PM,FREE,BUSY
