START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,,,Red Sox at Braves - Time TBD,CoolToday Park - North Port,"",02/26/22,02/26/22,,,FALSE,TRUE,02/26/22,,,FREE,BUSY
02/27/22,,,Pirates at Braves - Time TBD,CoolToday Park - North Port,"",02/27/22,02/27/22,,,FALSE,TRUE,02/27/22,,,FREE,BUSY
02/28/22,,,Braves at Tigers - Time TBD,Publix Field at Joker Marchant Stadium - Lakeland,"",02/28/22,02/28/22,,,FALSE,TRUE,02/28/22,,,FREE,BUSY
03/01/22,,,Astros at Braves - Time TBD,CoolToday Park - North Port,"",03/01/22,03/01/22,,,FALSE,TRUE,03/01/22,,,FREE,BUSY
03/02/22,,,Braves at Rays - Time TBD,Charlotte Sports Park - Port Charlotte,"",03/02/22,03/02/22,,,FALSE,TRUE,03/02/22,,,FREE,BUSY
03/03/22,,,Braves at Red Sox - Time TBD,JetBlue Park - Ft. Myers,"",03/03/22,03/03/22,,,FALSE,TRUE,03/03/22,,,FREE,BUSY
03/03/22,,,Twins at Braves - Time TBD,CoolToday Park - North Port,"",03/03/22,03/03/22,,,FALSE,TRUE,03/03/22,,,FREE,BUSY
03/04/22,01:05 PM,01:05 PM,Braves at Phillies,BayCare Ballpark - Clearwater,"",03/04/22,03/04/22,04:05 PM,04:05 PM,FALSE,TRUE,03/04/22,12:05 PM,12:05 PM,FREE,BUSY
03/05/22,,,Orioles at Braves - Time TBD,CoolToday Park - North Port,"",03/05/22,03/05/22,,,FALSE,TRUE,03/05/22,,,FREE,BUSY
03/06/22,01:05 PM,01:05 PM,Braves at Pirates,LECOM Park - Bradenton,"",03/06/22,03/06/22,04:05 PM,04:05 PM,FALSE,TRUE,03/06/22,12:05 PM,12:05 PM,FREE,BUSY
03/08/22,,,Rays at Braves - Time TBD,CoolToday Park - North Port,"",03/08/22,03/08/22,,,FALSE,TRUE,03/08/22,,,FREE,BUSY
03/09/22,01:05 PM,01:05 PM,Braves at Pirates,LECOM Park - Bradenton,"",03/09/22,03/09/22,04:05 PM,04:05 PM,FALSE,TRUE,03/09/22,12:05 PM,12:05 PM,FREE,BUSY
03/10/22,,,Blue Jays at Braves - Time TBD,CoolToday Park - North Port,"",03/10/22,03/10/22,,,FALSE,TRUE,03/10/22,,,FREE,BUSY
03/11/22,01:10 PM,01:10 PM,Braves at Mets,Clover Park - Port St. Lucie,"",03/11/22,03/11/22,04:10 PM,04:10 PM,FALSE,TRUE,03/11/22,12:10 PM,12:10 PM,FREE,BUSY
03/12/22,01:05 PM,01:05 PM,Braves at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",03/12/22,03/12/22,04:05 PM,04:05 PM,FALSE,TRUE,03/12/22,12:05 PM,12:05 PM,FREE,BUSY
03/13/22,,,Yankees at Braves - Time TBD,CoolToday Park - North Port,"",03/13/22,03/13/22,,,FALSE,TRUE,03/13/22,,,FREE,BUSY
03/15/22,,,Orioles at Braves - Time TBD,CoolToday Park - North Port,"",03/15/22,03/15/22,,,FALSE,TRUE,03/15/22,,,FREE,BUSY
03/16/22,,,Red Sox at Braves - Time TBD,CoolToday Park - North Port,"",03/16/22,03/16/22,,,FALSE,TRUE,03/16/22,,,FREE,BUSY
03/16/22,01:05 PM,01:05 PM,Braves at Twins,Hammond Stadium - Fort Myers,"",03/16/22,03/16/22,04:05 PM,04:05 PM,FALSE,TRUE,03/16/22,12:05 PM,12:05 PM,FREE,BUSY
03/17/22,01:05 PM,01:05 PM,Braves at Yankees,George M. Steinbrenner Field - Tampa,"",03/17/22,03/17/22,04:05 PM,04:05 PM,FALSE,TRUE,03/17/22,12:05 PM,12:05 PM,FREE,BUSY
03/18/22,01:05 PM,01:05 PM,Braves at Orioles,Ed Smith Stadium - Sarasota,"",03/18/22,03/18/22,04:05 PM,04:05 PM,FALSE,TRUE,03/18/22,12:05 PM,12:05 PM,FREE,BUSY
03/19/22,,,Mets at Braves - Time TBD,CoolToday Park - North Port,"",03/19/22,03/19/22,,,FALSE,TRUE,03/19/22,,,FREE,BUSY
03/20/22,,,Braves at Rays - Time TBD,Charlotte Sports Park - Port Charlotte,"",03/20/22,03/20/22,,,FALSE,TRUE,03/20/22,,,FREE,BUSY
03/21/22,,,Phillies at Braves - Time TBD,CoolToday Park - North Port,"",03/21/22,03/21/22,,,FALSE,TRUE,03/21/22,,,FREE,BUSY
03/22/22,01:05 PM,01:05 PM,Braves at Twins,Hammond Stadium - Fort Myers,"",03/22/22,03/22/22,04:05 PM,04:05 PM,FALSE,TRUE,03/22/22,12:05 PM,12:05 PM,FREE,BUSY
03/23/22,,,Tigers at Braves - Time TBD,CoolToday Park - North Port,"",03/23/22,03/23/22,,,FALSE,TRUE,03/23/22,,,FREE,BUSY
03/24/22,06:07 PM,06:07 PM,Braves at Blue Jays,TD Ballpark - Dunedin,"",03/24/22,03/24/22,09:07 PM,09:07 PM,FALSE,TRUE,03/24/22,05:07 PM,05:07 PM,FREE,BUSY
03/25/22,,,Rays at Braves - Time TBD,CoolToday Park - North Port,"",03/25/22,03/25/22,,,FALSE,TRUE,03/25/22,,,FREE,BUSY
03/26/22,,,Braves at Red Sox - Time TBD,JetBlue Park - Ft. Myers,"",03/26/22,03/26/22,,,FALSE,TRUE,03/26/22,,,FREE,BUSY
03/27/22,,,Twins at Braves - Time TBD,CoolToday Park - North Port,"",03/27/22,03/27/22,,,FALSE,TRUE,03/27/22,,,FREE,BUSY
03/28/22,,,Pirates at Braves - Time TBD,CoolToday Park - North Port,"",03/28/22,03/28/22,,,FALSE,TRUE,03/28/22,,,FREE,BUSY
03/29/22,01:05 PM,01:05 PM,Braves at Pirates,LECOM Park - Bradenton,"",03/29/22,03/29/22,04:05 PM,04:05 PM,FALSE,TRUE,03/29/22,12:05 PM,12:05 PM,FREE,BUSY
03/31/22,04:10 PM,04:10 PM,Braves at Marlins,loanDepot park - Miami,"",03/31/22,03/31/22,07:10 PM,07:10 PM,FALSE,TRUE,03/31/22,03:10 PM,03:10 PM,FREE,BUSY
04/01/22,06:40 PM,06:40 PM,Braves at Marlins,loanDepot park - Miami,"",04/01/22,04/01/22,09:40 PM,09:40 PM,FALSE,TRUE,04/01/22,05:40 PM,05:40 PM,FREE,BUSY
04/02/22,06:10 PM,06:10 PM,Braves at Marlins,loanDepot park - Miami,"",04/02/22,04/02/22,09:10 PM,09:10 PM,FALSE,TRUE,04/02/22,05:10 PM,05:10 PM,FREE,BUSY
04/03/22,01:10 PM,01:10 PM,Braves at Marlins,loanDepot park - Miami,"",04/03/22,04/03/22,04:10 PM,04:10 PM,FALSE,TRUE,04/03/22,12:10 PM,12:10 PM,FREE,BUSY
04/04/22,07:10 PM,07:10 PM,Braves at Mets,Citi Field - Flushing,"",04/04/22,04/04/22,10:10 PM,10:10 PM,FALSE,TRUE,04/04/22,06:10 PM,06:10 PM,FREE,BUSY
04/05/22,07:10 PM,07:10 PM,Braves at Mets,Citi Field - Flushing,"",04/05/22,04/05/22,10:10 PM,10:10 PM,FALSE,TRUE,04/05/22,06:10 PM,06:10 PM,FREE,BUSY
04/07/22,07:20 PM,07:20 PM,Reds at Braves,Truist Park - Atlanta,"",04/07/22,04/07/22,10:20 PM,10:20 PM,FALSE,TRUE,04/07/22,06:20 PM,06:20 PM,FREE,BUSY
04/08/22,07:20 PM,07:20 PM,Reds at Braves,Truist Park - Atlanta,"",04/08/22,04/08/22,10:20 PM,10:20 PM,FALSE,TRUE,04/08/22,06:20 PM,06:20 PM,FREE,BUSY
04/09/22,07:20 PM,07:20 PM,Reds at Braves,Truist Park - Atlanta,"",04/09/22,04/09/22,10:20 PM,10:20 PM,FALSE,TRUE,04/09/22,06:20 PM,06:20 PM,FREE,BUSY
04/10/22,01:30 PM,01:30 PM,Reds at Braves,Truist Park - Atlanta,"",04/10/22,04/10/22,04:30 PM,04:30 PM,FALSE,TRUE,04/10/22,12:30 PM,12:30 PM,FREE,BUSY
04/11/22,07:20 PM,07:20 PM,Nationals at Braves,Truist Park - Atlanta,"",04/11/22,04/11/22,10:20 PM,10:20 PM,FALSE,TRUE,04/11/22,06:20 PM,06:20 PM,FREE,BUSY
04/12/22,07:20 PM,07:20 PM,Nationals at Braves,Truist Park - Atlanta,"",04/12/22,04/12/22,10:20 PM,10:20 PM,FALSE,TRUE,04/12/22,06:20 PM,06:20 PM,FREE,BUSY
04/13/22,12:20 PM,12:20 PM,Nationals at Braves,Truist Park - Atlanta,"",04/13/22,04/13/22,03:20 PM,03:20 PM,FALSE,TRUE,04/13/22,11:20 AM,11:20 AM,FREE,BUSY
