START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,01:10 PM,03:10 PM,Angels at Brewers,American Family Fields of Phoenix - Phoenix,"",02/26/22,02/26/22,04:10 PM,06:10 PM,FALSE,TRUE,02/26/22,12:10 PM,02:10 PM,FREE,BUSY
02/27/22,02:10 PM,03:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",02/27/22,02/27/22,05:10 PM,06:10 PM,FALSE,TRUE,02/27/22,01:10 PM,02:10 PM,FREE,BUSY
02/27/22,01:10 PM,03:10 PM,D-backs at Brewers,American Family Fields of Phoenix - Phoenix,"",02/27/22,02/27/22,04:10 PM,06:10 PM,FALSE,TRUE,02/27/22,12:10 PM,02:10 PM,FREE,BUSY
02/28/22,02:05 PM,03:05 PM,Brewers at Giants,Scottsdale Stadium - Scottsdale,"",02/28/22,02/28/22,05:05 PM,06:05 PM,FALSE,TRUE,02/28/22,01:05 PM,02:05 PM,FREE,BUSY
03/01/22,01:10 PM,03:10 PM,Mariners at Brewers,American Family Fields of Phoenix - Phoenix,"",03/01/22,03/01/22,04:10 PM,06:10 PM,FALSE,TRUE,03/01/22,12:10 PM,02:10 PM,FREE,BUSY
03/02/22,02:05 PM,03:05 PM,Brewers at Guardians,Goodyear Ballpark - Goodyear,"",03/02/22,03/02/22,05:05 PM,06:05 PM,FALSE,TRUE,03/02/22,01:05 PM,02:05 PM,FREE,BUSY
03/03/22,01:10 PM,03:10 PM,Dodgers at Brewers,American Family Fields of Phoenix - Phoenix,"",03/03/22,03/03/22,04:10 PM,06:10 PM,FALSE,TRUE,03/03/22,12:10 PM,02:10 PM,FREE,BUSY
03/04/22,02:05 PM,03:05 PM,Brewers at Royals,Surprise Stadium - Surprise,"",03/04/22,03/04/22,05:05 PM,06:05 PM,FALSE,TRUE,03/04/22,01:05 PM,02:05 PM,FREE,BUSY
03/05/22,01:10 PM,03:10 PM,Cubs at Brewers,American Family Fields of Phoenix - Phoenix,"",03/05/22,03/05/22,04:10 PM,06:10 PM,FALSE,TRUE,03/05/22,12:10 PM,02:10 PM,FREE,BUSY
03/06/22,02:05 PM,03:05 PM,Brewers at White Sox,Camelback Ranch - Glendale,"",03/06/22,03/06/22,05:05 PM,06:05 PM,FALSE,TRUE,03/06/22,01:05 PM,02:05 PM,FREE,BUSY
03/07/22,01:10 PM,03:10 PM,Rangers at Brewers,American Family Fields of Phoenix - Phoenix,"",03/07/22,03/07/22,04:10 PM,06:10 PM,FALSE,TRUE,03/07/22,12:10 PM,02:10 PM,FREE,BUSY
03/07/22,07:05 PM,08:05 PM,Brewers at Reds,Goodyear Ballpark - Goodyear,"",03/07/22,03/07/22,10:05 PM,11:05 PM,FALSE,TRUE,03/07/22,06:05 PM,07:05 PM,FREE,BUSY
03/09/22,01:10 PM,03:10 PM,Giants at Brewers,American Family Fields of Phoenix - Phoenix,"",03/09/22,03/09/22,04:10 PM,06:10 PM,FALSE,TRUE,03/09/22,12:10 PM,02:10 PM,FREE,BUSY
03/10/22,02:10 PM,03:10 PM,Brewers at Mariners,Peoria Stadium - Peoria,"",03/10/22,03/10/22,05:10 PM,06:10 PM,FALSE,TRUE,03/10/22,01:10 PM,02:10 PM,FREE,BUSY
03/11/22,01:10 PM,03:10 PM,White Sox at Brewers,American Family Fields of Phoenix - Phoenix,"",03/11/22,03/11/22,04:10 PM,06:10 PM,FALSE,TRUE,03/11/22,12:10 PM,02:10 PM,FREE,BUSY
03/12/22,01:10 PM,03:10 PM,Cubs at Brewers,American Family Fields of Phoenix - Phoenix,"",03/12/22,03/12/22,04:10 PM,06:10 PM,FALSE,TRUE,03/12/22,12:10 PM,02:10 PM,FREE,BUSY
03/13/22,,,Brewers at D-backs - Time TBD,Salt River Fields at Talking Stick - Scottsdale,"",03/13/22,03/13/22,,,FALSE,TRUE,03/13/22,,,FREE,BUSY
03/14/22,01:10 PM,04:10 PM,Guardians at Brewers,American Family Fields of Phoenix - Phoenix,"",03/14/22,03/14/22,04:10 PM,07:10 PM,FALSE,TRUE,03/14/22,12:10 PM,03:10 PM,FREE,BUSY
03/15/22,03:05 PM,04:05 PM,Brewers at Athletics,Hohokam Stadium - Mesa,"",03/15/22,03/15/22,06:05 PM,07:05 PM,FALSE,TRUE,03/15/22,02:05 PM,03:05 PM,FREE,BUSY
03/16/22,03:05 PM,04:05 PM,Brewers at Rangers,Surprise Stadium - Surprise,"",03/16/22,03/16/22,06:05 PM,07:05 PM,FALSE,TRUE,03/16/22,02:05 PM,03:05 PM,FREE,BUSY
03/17/22,08:05 PM,09:05 PM,Brewers at Dodgers,Camelback Ranch - Glendale,"",03/17/22,03/18/22,11:05 PM,12:05 AM,FALSE,TRUE,03/17/22,07:05 PM,08:05 PM,FREE,BUSY
03/17/22,01:10 PM,04:10 PM,Padres at Brewers,American Family Fields of Phoenix - Phoenix,"",03/17/22,03/17/22,04:10 PM,07:10 PM,FALSE,TRUE,03/17/22,12:10 PM,03:10 PM,FREE,BUSY
03/18/22,01:10 PM,04:10 PM,Royals at Brewers,American Family Fields of Phoenix - Phoenix,"",03/18/22,03/18/22,04:10 PM,07:10 PM,FALSE,TRUE,03/18/22,12:10 PM,03:10 PM,FREE,BUSY
03/19/22,03:10 PM,04:10 PM,Brewers at Angels,Tempe Diablo Stadium - Tempe,"",03/19/22,03/19/22,06:10 PM,07:10 PM,FALSE,TRUE,03/19/22,02:10 PM,03:10 PM,FREE,BUSY
03/20/22,01:10 PM,04:10 PM,Athletics at Brewers,American Family Fields of Phoenix - Phoenix,"",03/20/22,03/20/22,04:10 PM,07:10 PM,FALSE,TRUE,03/20/22,12:10 PM,03:10 PM,FREE,BUSY
03/21/22,03:05 PM,04:05 PM,Brewers at Cubs,Sloan Park - Mesa,"",03/21/22,03/21/22,06:05 PM,07:05 PM,FALSE,TRUE,03/21/22,02:05 PM,03:05 PM,FREE,BUSY
03/22/22,01:10 PM,04:10 PM,Rockies at Brewers,American Family Fields of Phoenix - Phoenix,"",03/22/22,03/22/22,04:10 PM,07:10 PM,FALSE,TRUE,03/22/22,12:10 PM,03:10 PM,FREE,BUSY
03/24/22,08:40 PM,09:40 PM,Brewers at Mariners,Peoria Stadium - Peoria,"",03/24/22,03/25/22,11:40 PM,12:40 AM,FALSE,TRUE,03/24/22,07:40 PM,08:40 PM,FREE,BUSY
03/25/22,01:10 PM,04:10 PM,Reds at Brewers,American Family Fields of Phoenix - Phoenix,"",03/25/22,03/25/22,04:10 PM,07:10 PM,FALSE,TRUE,03/25/22,12:10 PM,03:10 PM,FREE,BUSY
03/26/22,03:05 PM,04:05 PM,Brewers at Giants,Scottsdale Stadium - Scottsdale,"",03/26/22,03/26/22,06:05 PM,07:05 PM,FALSE,TRUE,03/26/22,02:05 PM,03:05 PM,FREE,BUSY
03/26/22,12:10 PM,03:10 PM,Athletics at Brewers,American Family Fields of Phoenix - Phoenix,"",03/26/22,03/26/22,03:10 PM,06:10 PM,FALSE,TRUE,03/26/22,11:10 AM,02:10 PM,FREE,BUSY
03/27/22,02:10 PM,03:10 PM,Brewers at Padres,Peoria Stadium - Peoria,"",03/27/22,03/27/22,05:10 PM,06:10 PM,FALSE,TRUE,03/27/22,01:10 PM,02:10 PM,FREE,BUSY
03/28/22,,,Royals at Brewers - Time TBD,American Family Field - Milwaukee,"",03/28/22,03/28/22,,,FALSE,TRUE,03/28/22,,,FREE,BUSY
03/29/22,,,Royals at Brewers - Time TBD,American Family Field - Milwaukee,"",03/29/22,03/29/22,,,FALSE,TRUE,03/29/22,,,FREE,BUSY
03/31/22,01:10 PM,02:10 PM,D-backs at Brewers,American Family Field - Milwaukee,"",03/31/22,03/31/22,04:10 PM,05:10 PM,FALSE,TRUE,03/31/22,12:10 PM,01:10 PM,FREE,BUSY
04/01/22,07:10 PM,08:10 PM,D-backs at Brewers,American Family Field - Milwaukee,"",04/01/22,04/01/22,10:10 PM,11:10 PM,FALSE,TRUE,04/01/22,06:10 PM,07:10 PM,FREE,BUSY
04/02/22,06:10 PM,07:10 PM,D-backs at Brewers,American Family Field - Milwaukee,"",04/02/22,04/02/22,09:10 PM,10:10 PM,FALSE,TRUE,04/02/22,05:10 PM,06:10 PM,FREE,BUSY
04/04/22,06:40 PM,07:40 PM,Giants at Brewers,American Family Field - Milwaukee,"",04/04/22,04/04/22,09:40 PM,10:40 PM,FALSE,TRUE,04/04/22,05:40 PM,06:40 PM,FREE,BUSY
04/05/22,06:40 PM,07:40 PM,Giants at Brewers,American Family Field - Milwaukee,"",04/05/22,04/05/22,09:40 PM,10:40 PM,FALSE,TRUE,04/05/22,05:40 PM,06:40 PM,FREE,BUSY
04/06/22,12:40 PM,01:40 PM,Giants at Brewers,American Family Field - Milwaukee,"",04/06/22,04/06/22,03:40 PM,04:40 PM,FALSE,TRUE,04/06/22,11:40 AM,12:40 PM,FREE,BUSY
04/07/22,06:40 PM,07:40 PM,Brewers at Cubs,Wrigley Field - Chicago,"",04/07/22,04/07/22,09:40 PM,10:40 PM,FALSE,TRUE,04/07/22,05:40 PM,06:40 PM,FREE,BUSY
04/08/22,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"",04/08/22,04/08/22,04:20 PM,05:20 PM,FALSE,TRUE,04/08/22,12:20 PM,01:20 PM,FREE,BUSY
04/09/22,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"",04/09/22,04/09/22,04:20 PM,05:20 PM,FALSE,TRUE,04/09/22,12:20 PM,01:20 PM,FREE,BUSY
04/10/22,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"",04/10/22,04/10/22,04:20 PM,05:20 PM,FALSE,TRUE,04/10/22,12:20 PM,01:20 PM,FREE,BUSY
04/11/22,06:05 PM,07:05 PM,Brewers at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/11/22,04/11/22,09:05 PM,10:05 PM,FALSE,TRUE,04/11/22,05:05 PM,06:05 PM,FREE,BUSY
04/12/22,06:05 PM,07:05 PM,Brewers at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/12/22,04/12/22,09:05 PM,10:05 PM,FALSE,TRUE,04/12/22,05:05 PM,06:05 PM,FREE,BUSY
04/13/22,06:05 PM,07:05 PM,Brewers at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/13/22,04/13/22,09:05 PM,10:05 PM,FALSE,TRUE,04/13/22,05:05 PM,06:05 PM,FREE,BUSY
04/14/22,06:40 PM,07:40 PM,Cardinals at Brewers,American Family Field - Milwaukee,"",04/14/22,04/14/22,09:40 PM,10:40 PM,FALSE,TRUE,04/14/22,05:40 PM,06:40 PM,FREE,BUSY
04/15/22,07:10 PM,08:10 PM,Cardinals at Brewers,American Family Field - Milwaukee,"",04/15/22,04/15/22,10:10 PM,11:10 PM,FALSE,TRUE,04/15/22,06:10 PM,07:10 PM,FREE,BUSY
04/16/22,06:10 PM,07:10 PM,Cardinals at Brewers,American Family Field - Milwaukee,"",04/16/22,04/16/22,09:10 PM,10:10 PM,FALSE,TRUE,04/16/22,05:10 PM,06:10 PM,FREE,BUSY
04/17/22,01:10 PM,02:10 PM,Cardinals at Brewers,American Family Field - Milwaukee,"",04/17/22,04/17/22,04:10 PM,05:10 PM,FALSE,TRUE,04/17/22,12:10 PM,01:10 PM,FREE,BUSY
04/18/22,06:40 PM,07:40 PM,Pirates at Brewers,American Family Field - Milwaukee,"",04/18/22,04/18/22,09:40 PM,10:40 PM,FALSE,TRUE,04/18/22,05:40 PM,06:40 PM,FREE,BUSY
04/19/22,06:40 PM,07:40 PM,Pirates at Brewers,American Family Field - Milwaukee,"",04/19/22,04/19/22,09:40 PM,10:40 PM,FALSE,TRUE,04/19/22,05:40 PM,06:40 PM,FREE,BUSY
04/20/22,12:40 PM,01:40 PM,Pirates at Brewers,American Family Field - Milwaukee,"",04/20/22,04/20/22,03:40 PM,04:40 PM,FALSE,TRUE,04/20/22,11:40 AM,12:40 PM,FREE,BUSY
04/22/22,06:05 PM,07:05 PM,Brewers at Phillies,Citizens Bank Park - Philadelphia,"",04/22/22,04/22/22,09:05 PM,10:05 PM,FALSE,TRUE,04/22/22,05:05 PM,06:05 PM,FREE,BUSY
04/23/22,03:05 PM,04:05 PM,Brewers at Phillies,Citizens Bank Park - Philadelphia,"",04/23/22,04/23/22,06:05 PM,07:05 PM,FALSE,TRUE,04/23/22,02:05 PM,03:05 PM,FREE,BUSY
04/24/22,06:08 PM,07:08 PM,Brewers at Phillies,Citizens Bank Park - Philadelphia,"",04/24/22,04/24/22,09:08 PM,10:08 PM,FALSE,TRUE,04/24/22,05:08 PM,06:08 PM,FREE,BUSY
04/26/22,05:35 PM,06:35 PM,Brewers at Pirates,PNC Park - Pittsburgh,"",04/26/22,04/26/22,08:35 PM,09:35 PM,FALSE,TRUE,04/26/22,04:35 PM,05:35 PM,FREE,BUSY
04/27/22,05:35 PM,06:35 PM,Brewers at Pirates,PNC Park - Pittsburgh,"",04/27/22,04/27/22,08:35 PM,09:35 PM,FALSE,TRUE,04/27/22,04:35 PM,05:35 PM,FREE,BUSY
04/28/22,11:35 AM,12:35 PM,Brewers at Pirates,PNC Park - Pittsburgh,"",04/28/22,04/28/22,02:35 PM,03:35 PM,FALSE,TRUE,04/28/22,10:35 AM,11:35 AM,FREE,BUSY
04/29/22,07:10 PM,08:10 PM,Cubs at Brewers,American Family Field - Milwaukee,"",04/29/22,04/29/22,10:10 PM,11:10 PM,FALSE,TRUE,04/29/22,06:10 PM,07:10 PM,FREE,BUSY
04/30/22,06:10 PM,07:10 PM,Cubs at Brewers,American Family Field - Milwaukee,"",04/30/22,04/30/22,09:10 PM,10:10 PM,FALSE,TRUE,04/30/22,05:10 PM,06:10 PM,FREE,BUSY
05/01/22,01:10 PM,02:10 PM,Cubs at Brewers,American Family Field - Milwaukee,"",05/01/22,05/01/22,04:10 PM,05:10 PM,FALSE,TRUE,05/01/22,12:10 PM,01:10 PM,FREE,BUSY
05/03/22,06:40 PM,07:40 PM,Reds at Brewers,American Family Field - Milwaukee,"",05/03/22,05/03/22,09:40 PM,10:40 PM,FALSE,TRUE,05/03/22,05:40 PM,06:40 PM,FREE,BUSY
05/04/22,06:40 PM,07:40 PM,Reds at Brewers,American Family Field - Milwaukee,"",05/04/22,05/04/22,09:40 PM,10:40 PM,FALSE,TRUE,05/04/22,05:40 PM,06:40 PM,FREE,BUSY
05/05/22,12:40 PM,01:40 PM,Reds at Brewers,American Family Field - Milwaukee,"",05/05/22,05/05/22,03:40 PM,04:40 PM,FALSE,TRUE,05/05/22,11:40 AM,12:40 PM,FREE,BUSY
05/06/22,06:20 PM,07:20 PM,Brewers at Braves,Truist Park - Atlanta,"",05/06/22,05/06/22,09:20 PM,10:20 PM,FALSE,TRUE,05/06/22,05:20 PM,06:20 PM,FREE,BUSY
05/07/22,06:20 PM,07:20 PM,Brewers at Braves,Truist Park - Atlanta,"",05/07/22,05/07/22,09:20 PM,10:20 PM,FALSE,TRUE,05/07/22,05:20 PM,06:20 PM,FREE,BUSY
05/08/22,12:20 PM,01:20 PM,Brewers at Braves,Truist Park - Atlanta,"",05/08/22,05/08/22,03:20 PM,04:20 PM,FALSE,TRUE,05/08/22,11:20 AM,12:20 PM,FREE,BUSY
05/09/22,05:40 PM,06:40 PM,Brewers at Reds,Great American Ball Park - Cincinnati,"",05/09/22,05/09/22,08:40 PM,09:40 PM,FALSE,TRUE,05/09/22,04:40 PM,05:40 PM,FREE,BUSY
05/10/22,05:40 PM,06:40 PM,Brewers at Reds,Great American Ball Park - Cincinnati,"",05/10/22,05/10/22,08:40 PM,09:40 PM,FALSE,TRUE,05/10/22,04:40 PM,05:40 PM,FREE,BUSY
05/11/22,11:35 AM,12:35 PM,Brewers at Reds,Great American Ball Park - Cincinnati,"",05/11/22,05/11/22,02:35 PM,03:35 PM,FALSE,TRUE,05/11/22,10:35 AM,11:35 AM,FREE,BUSY
05/13/22,05:40 PM,06:40 PM,Brewers at Marlins,loanDepot park - Miami,"",05/13/22,05/13/22,08:40 PM,09:40 PM,FALSE,TRUE,05/13/22,04:40 PM,05:40 PM,FREE,BUSY
