START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,05:05 PM,06:05 PM,Cardinals at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",02/26/22,02/26/22,08:05 PM,09:05 PM,FALSE,TRUE,02/26/22,04:05 PM,05:05 PM,FREE,BUSY
02/27/22,,,Nationals at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",02/27/22,02/27/22,,,FALSE,TRUE,02/27/22,,,FREE,BUSY
02/28/22,12:10 PM,01:10 PM,Cardinals at Mets,Clover Park - Port St. Lucie,"",02/28/22,02/28/22,03:10 PM,04:10 PM,FALSE,TRUE,02/28/22,11:10 AM,12:10 PM,FREE,BUSY
02/28/22,,,Marlins at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",02/28/22,02/28/22,,,FALSE,TRUE,02/28/22,,,FREE,BUSY
03/01/22,12:05 PM,01:05 PM,Cardinals at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"",03/01/22,03/01/22,03:05 PM,04:05 PM,FALSE,TRUE,03/01/22,11:05 AM,12:05 PM,FREE,BUSY
03/02/22,,,Cardinals at Marlins - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/02/22,03/02/22,,,FALSE,TRUE,03/02/22,,,FREE,BUSY
03/03/22,,,Tigers at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/03/22,03/03/22,,,FALSE,TRUE,03/03/22,,,FREE,BUSY
03/04/22,,,Marlins at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/04/22,03/04/22,,,FALSE,TRUE,03/04/22,,,FREE,BUSY
03/05/22,12:05 PM,01:05 PM,Cardinals at Yankees,George M. Steinbrenner Field - Tampa,"",03/05/22,03/05/22,03:05 PM,04:05 PM,FALSE,TRUE,03/05/22,11:05 AM,12:05 PM,FREE,BUSY
03/06/22,,,Cardinals at Tigers - Time TBD,Publix Field at Joker Marchant Stadium - Lakeland,"",03/06/22,03/06/22,,,FALSE,TRUE,03/06/22,,,FREE,BUSY
03/07/22,,,Mets at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/07/22,03/07/22,,,FALSE,TRUE,03/07/22,,,FREE,BUSY
03/09/22,,,Nationals at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/09/22,03/09/22,,,FALSE,TRUE,03/09/22,,,FREE,BUSY
03/10/22,,,Astros at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/10/22,03/10/22,,,FALSE,TRUE,03/10/22,,,FREE,BUSY
03/11/22,,,Cardinals at Marlins - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/11/22,03/11/22,,,FALSE,TRUE,03/11/22,,,FREE,BUSY
03/12/22,06:05 PM,07:05 PM,Cardinals at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"",03/12/22,03/12/22,09:05 PM,10:05 PM,FALSE,TRUE,03/12/22,05:05 PM,06:05 PM,FREE,BUSY
03/12/22,,,Mets at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/12/22,03/12/22,,,FALSE,TRUE,03/12/22,,,FREE,BUSY
03/13/22,,,Astros at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/13/22,03/13/22,,,FALSE,TRUE,03/13/22,,,FREE,BUSY
03/14/22,12:10 PM,01:10 PM,Cardinals at Mets,Clover Park - Port St. Lucie,"",03/14/22,03/14/22,03:10 PM,04:10 PM,FALSE,TRUE,03/14/22,11:10 AM,12:10 PM,FREE,BUSY
03/15/22,,,Nationals at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/15/22,03/15/22,,,FALSE,TRUE,03/15/22,,,FREE,BUSY
03/17/22,05:05 PM,06:05 PM,Cardinals at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"",03/17/22,03/17/22,08:05 PM,09:05 PM,FALSE,TRUE,03/17/22,04:05 PM,05:05 PM,FREE,BUSY
03/18/22,,,Cardinals at Marlins - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/18/22,03/18/22,,,FALSE,TRUE,03/18/22,,,FREE,BUSY
03/19/22,,,Yankees at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/19/22,03/19/22,,,FALSE,TRUE,03/19/22,,,FREE,BUSY
03/20/22,12:05 PM,01:05 PM,Cardinals at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",03/20/22,03/20/22,03:05 PM,04:05 PM,FALSE,TRUE,03/20/22,11:05 AM,12:05 PM,FREE,BUSY
03/21/22,,,Marlins at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/21/22,03/21/22,,,FALSE,TRUE,03/21/22,,,FREE,BUSY
03/22/22,12:05 PM,01:05 PM,Cardinals at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"",03/22/22,03/22/22,03:05 PM,04:05 PM,FALSE,TRUE,03/22/22,11:05 AM,12:05 PM,FREE,BUSY
03/23/22,,,Mets at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/23/22,03/23/22,,,FALSE,TRUE,03/23/22,,,FREE,BUSY
03/24/22,12:05 PM,01:05 PM,Cardinals at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",03/24/22,03/24/22,03:05 PM,04:05 PM,FALSE,TRUE,03/24/22,11:05 AM,12:05 PM,FREE,BUSY
03/25/22,,,Marlins at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/25/22,03/25/22,,,FALSE,TRUE,03/25/22,,,FREE,BUSY
03/26/22,05:10 PM,06:10 PM,Cardinals at Mets,Clover Park - Port St. Lucie,"",03/26/22,03/26/22,08:10 PM,09:10 PM,FALSE,TRUE,03/26/22,04:10 PM,05:10 PM,FREE,BUSY
03/27/22,,,Astros at Cardinals - Time TBD,Roger Dean Chevrolet Stadium - Jupiter,"",03/27/22,03/27/22,,,FALSE,TRUE,03/27/22,,,FREE,BUSY
03/31/22,12:05 PM,01:05 PM,Cardinals at Pirates,PNC Park - Pittsburgh,"",03/31/22,03/31/22,03:05 PM,04:05 PM,FALSE,TRUE,03/31/22,11:05 AM,12:05 PM,FREE,BUSY
04/02/22,03:05 PM,04:05 PM,Cardinals at Pirates,PNC Park - Pittsburgh,"",04/02/22,04/02/22,06:05 PM,07:05 PM,FALSE,TRUE,04/02/22,02:05 PM,03:05 PM,FREE,BUSY
04/03/22,12:05 PM,01:05 PM,Cardinals at Pirates,PNC Park - Pittsburgh,"",04/03/22,04/03/22,03:05 PM,04:05 PM,FALSE,TRUE,04/03/22,11:05 AM,12:05 PM,FREE,BUSY
04/04/22,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"",04/04/22,04/04/22,04:20 PM,05:20 PM,FALSE,TRUE,04/04/22,12:20 PM,01:20 PM,FREE,BUSY
