START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/31/22,03:10 PM,04:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"",03/31/22,03/31/22,06:10 PM,07:10 PM,FALSE,TRUE,03/31/22,02:10 PM,03:10 PM,FREE,BUSY
04/02/22,01:10 PM,02:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"",04/02/22,04/02/22,04:10 PM,05:10 PM,FALSE,TRUE,04/02/22,12:10 PM,01:10 PM,FREE,BUSY
04/03/22,12:10 PM,01:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"",04/03/22,04/03/22,03:10 PM,04:10 PM,FALSE,TRUE,04/03/22,11:10 AM,12:10 PM,FREE,BUSY
04/04/22,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"",04/04/22,04/04/22,04:20 PM,05:20 PM,FALSE,TRUE,04/04/22,12:20 PM,01:20 PM,FREE,BUSY
04/06/22,06:40 PM,07:40 PM,Cardinals at Cubs,Wrigley Field - Chicago,"",04/06/22,04/06/22,09:40 PM,10:40 PM,FALSE,TRUE,04/06/22,05:40 PM,06:40 PM,FREE,BUSY
04/07/22,06:40 PM,07:40 PM,Brewers at Cubs,Wrigley Field - Chicago,"",04/07/22,04/07/22,09:40 PM,10:40 PM,FALSE,TRUE,04/07/22,05:40 PM,06:40 PM,FREE,BUSY
04/08/22,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"",04/08/22,04/08/22,04:20 PM,05:20 PM,FALSE,TRUE,04/08/22,12:20 PM,01:20 PM,FREE,BUSY
04/09/22,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"",04/09/22,04/09/22,04:20 PM,05:20 PM,FALSE,TRUE,04/09/22,12:20 PM,01:20 PM,FREE,BUSY
04/10/22,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"",04/10/22,04/10/22,04:20 PM,05:20 PM,FALSE,TRUE,04/10/22,12:20 PM,01:20 PM,FREE,BUSY
04/12/22,05:35 PM,06:35 PM,Cubs at Pirates,PNC Park - Pittsburgh,"",04/12/22,04/12/22,08:35 PM,09:35 PM,FALSE,TRUE,04/12/22,04:35 PM,05:35 PM,FREE,BUSY
04/13/22,11:35 AM,12:35 PM,Cubs at Pirates,PNC Park - Pittsburgh,"",04/13/22,04/13/22,02:35 PM,03:35 PM,FALSE,TRUE,04/13/22,10:35 AM,11:35 AM,FREE,BUSY
04/14/22,07:40 PM,08:40 PM,Cubs at Rockies,Coors Field - Denver,"",04/14/22,04/14/22,10:40 PM,11:40 PM,FALSE,TRUE,04/14/22,06:40 PM,07:40 PM,FREE,BUSY
