START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,12:05 PM,03:05 PM,Dodgers at Cubs,Sloan Park - Mesa,"",02/26/22,02/26/22,03:05 PM,06:05 PM,FALSE,TRUE,02/26/22,11:05 AM,02:05 PM,FREE,BUSY
02/27/22,01:05 PM,03:05 PM,Padres at Dodgers,Camelback Ranch - Glendale,"",02/27/22,02/27/22,04:05 PM,06:05 PM,FALSE,TRUE,02/27/22,12:05 PM,02:05 PM,FREE,BUSY
02/28/22,01:05 PM,03:05 PM,Mariners at Dodgers,Camelback Ranch - Glendale,"",02/28/22,02/28/22,04:05 PM,06:05 PM,FALSE,TRUE,02/28/22,12:05 PM,02:05 PM,FREE,BUSY
03/01/22,12:05 PM,03:05 PM,Dodgers at Athletics,Hohokam Stadium - Mesa,"",03/01/22,03/01/22,03:05 PM,06:05 PM,FALSE,TRUE,03/01/22,11:05 AM,02:05 PM,FREE,BUSY
03/02/22,01:05 PM,03:05 PM,Rockies at Dodgers,Camelback Ranch - Glendale,"",03/02/22,03/02/22,04:05 PM,06:05 PM,FALSE,TRUE,03/02/22,12:05 PM,02:05 PM,FREE,BUSY
03/03/22,12:10 PM,03:10 PM,Dodgers at Brewers,American Family Fields of Phoenix - Phoenix,"",03/03/22,03/03/22,03:10 PM,06:10 PM,FALSE,TRUE,03/03/22,11:10 AM,02:10 PM,FREE,BUSY
03/04/22,06:05 PM,08:05 PM,Royals at Dodgers,Camelback Ranch - Glendale,"",03/04/22,03/04/22,09:05 PM,11:05 PM,FALSE,TRUE,03/04/22,05:05 PM,07:05 PM,FREE,BUSY
03/05/22,12:05 PM,03:05 PM,Dodgers at Rangers,Surprise Stadium - Surprise,"",03/05/22,03/05/22,03:05 PM,06:05 PM,FALSE,TRUE,03/05/22,11:05 AM,02:05 PM,FREE,BUSY
03/05/22,01:05 PM,03:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,"",03/05/22,03/05/22,04:05 PM,06:05 PM,FALSE,TRUE,03/05/22,12:05 PM,02:05 PM,FREE,BUSY
03/06/22,12:10 PM,03:10 PM,Dodgers at Angels,Tempe Diablo Stadium - Tempe,"",03/06/22,03/06/22,03:10 PM,06:10 PM,FALSE,TRUE,03/06/22,11:10 AM,02:10 PM,FREE,BUSY
