START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,01:05 PM,03:05 PM,Reds at Guardians,Goodyear Ballpark - Goodyear,"",02/26/22,02/26/22,04:05 PM,06:05 PM,FALSE,TRUE,02/26/22,12:05 PM,02:05 PM,FREE,BUSY
02/27/22,03:05 PM,03:05 PM,Guardians at Athletics,Hohokam Stadium - Mesa,"",02/27/22,02/27/22,06:05 PM,06:05 PM,FALSE,TRUE,02/27/22,02:05 PM,02:05 PM,FREE,BUSY
02/28/22,01:05 PM,03:05 PM,White Sox at Guardians,Goodyear Ballpark - Goodyear,"",02/28/22,02/28/22,04:05 PM,06:05 PM,FALSE,TRUE,02/28/22,12:05 PM,02:05 PM,FREE,BUSY
03/01/22,03:10 PM,03:10 PM,Guardians at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/01/22,03/01/22,06:10 PM,06:10 PM,FALSE,TRUE,03/01/22,02:10 PM,02:10 PM,FREE,BUSY
03/02/22,01:05 PM,03:05 PM,Brewers at Guardians,Goodyear Ballpark - Goodyear,"",03/02/22,03/02/22,04:05 PM,06:05 PM,FALSE,TRUE,03/02/22,12:05 PM,02:05 PM,FREE,BUSY
03/03/22,01:05 PM,03:05 PM,D-backs at Guardians,Goodyear Ballpark - Goodyear,"",03/03/22,03/03/22,04:05 PM,06:05 PM,FALSE,TRUE,03/03/22,12:05 PM,02:05 PM,FREE,BUSY
03/04/22,03:10 PM,03:10 PM,Guardians at Mariners,Peoria Stadium - Peoria,"",03/04/22,03/04/22,06:10 PM,06:10 PM,FALSE,TRUE,03/04/22,02:10 PM,02:10 PM,FREE,BUSY
03/05/22,03:10 PM,03:10 PM,Guardians at Padres,Peoria Stadium - Peoria,"",03/05/22,03/05/22,06:10 PM,06:10 PM,FALSE,TRUE,03/05/22,02:10 PM,02:10 PM,FREE,BUSY
03/06/22,04:05 PM,06:05 PM,Giants at Guardians,Goodyear Ballpark - Goodyear,"",03/06/22,03/06/22,07:05 PM,09:05 PM,FALSE,TRUE,03/06/22,03:05 PM,05:05 PM,FREE,BUSY
03/07/22,03:05 PM,03:05 PM,Guardians at Dodgers,Camelback Ranch - Glendale,"",03/07/22,03/07/22,06:05 PM,06:05 PM,FALSE,TRUE,03/07/22,02:05 PM,02:05 PM,FREE,BUSY
03/08/22,01:05 PM,03:05 PM,Rockies at Guardians,Goodyear Ballpark - Goodyear,"",03/08/22,03/08/22,04:05 PM,06:05 PM,FALSE,TRUE,03/08/22,12:05 PM,02:05 PM,FREE,BUSY
03/08/22,,,Guardians at D-backs - Time TBD,Salt River Fields at Talking Stick - Scottsdale,"",03/08/22,03/08/22,,,FALSE,TRUE,03/08/22,,,FREE,BUSY
03/10/22,01:05 PM,03:05 PM,Royals at Guardians,Goodyear Ballpark - Goodyear,"",03/10/22,03/10/22,04:05 PM,06:05 PM,FALSE,TRUE,03/10/22,12:05 PM,02:05 PM,FREE,BUSY
03/11/22,01:05 PM,03:05 PM,Rangers at Guardians,Goodyear Ballpark - Goodyear,"",03/11/22,03/11/22,04:05 PM,06:05 PM,FALSE,TRUE,03/11/22,12:05 PM,02:05 PM,FREE,BUSY
03/12/22,01:05 PM,04:05 PM,Athletics at Guardians,Las Vegas Ballpark - Summerlin,"",03/12/22,03/12/22,04:05 PM,07:05 PM,FALSE,TRUE,03/12/22,12:05 PM,03:05 PM,FREE,BUSY
03/12/22,03:10 PM,03:10 PM,Guardians at Padres,Peoria Stadium - Peoria,"",03/12/22,03/12/22,06:10 PM,06:10 PM,FALSE,TRUE,03/12/22,02:10 PM,02:10 PM,FREE,BUSY
03/13/22,04:05 PM,04:05 PM,Guardians at Athletics,Las Vegas Ballpark - Summerlin,"",03/13/22,03/13/22,07:05 PM,07:05 PM,FALSE,TRUE,03/13/22,03:05 PM,03:05 PM,FREE,BUSY
03/13/22,01:05 PM,04:05 PM,Dodgers at Guardians,Goodyear Ballpark - Goodyear,"",03/13/22,03/13/22,04:05 PM,07:05 PM,FALSE,TRUE,03/13/22,12:05 PM,03:05 PM,FREE,BUSY
03/14/22,04:10 PM,04:10 PM,Guardians at Brewers,American Family Fields of Phoenix - Phoenix,"",03/14/22,03/14/22,07:10 PM,07:10 PM,FALSE,TRUE,03/14/22,03:10 PM,03:10 PM,FREE,BUSY
03/15/22,04:10 PM,04:10 PM,Guardians at Angels,Tempe Diablo Stadium - Tempe,"",03/15/22,03/15/22,07:10 PM,07:10 PM,FALSE,TRUE,03/15/22,03:10 PM,03:10 PM,FREE,BUSY
03/16/22,01:05 PM,04:05 PM,Athletics at Guardians,Goodyear Ballpark - Goodyear,"",03/16/22,03/16/22,04:05 PM,07:05 PM,FALSE,TRUE,03/16/22,12:05 PM,03:05 PM,FREE,BUSY
03/17/22,06:05 PM,09:05 PM,Reds at Guardians,Goodyear Ballpark - Goodyear,"",03/17/22,03/18/22,09:05 PM,12:05 AM,FALSE,TRUE,03/17/22,05:05 PM,08:05 PM,FREE,BUSY
03/18/22,04:05 PM,04:05 PM,Guardians at Cubs,Sloan Park - Mesa,"",03/18/22,03/18/22,07:05 PM,07:05 PM,FALSE,TRUE,03/18/22,03:05 PM,03:05 PM,FREE,BUSY
03/19/22,04:05 PM,04:05 PM,Guardians at Rangers,Surprise Stadium - Surprise,"",03/19/22,03/19/22,07:05 PM,07:05 PM,FALSE,TRUE,03/19/22,03:05 PM,03:05 PM,FREE,BUSY
03/19/22,01:05 PM,04:05 PM,Padres at Guardians,Goodyear Ballpark - Goodyear,"",03/19/22,03/19/22,04:05 PM,07:05 PM,FALSE,TRUE,03/19/22,12:05 PM,03:05 PM,FREE,BUSY
03/20/22,04:05 PM,04:05 PM,Guardians at Royals,Surprise Stadium - Surprise,"",03/20/22,03/20/22,07:05 PM,07:05 PM,FALSE,TRUE,03/20/22,03:05 PM,03:05 PM,FREE,BUSY
03/22/22,06:05 PM,09:05 PM,Angels at Guardians,Goodyear Ballpark - Goodyear,"",03/22/22,03/23/22,09:05 PM,12:05 AM,FALSE,TRUE,03/22/22,05:05 PM,08:05 PM,FREE,BUSY
