START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/28/21,01:10 PM,03:10 PM,Padres at Mariners,Peoria Stadium - Peoria,"Local Radio: 710 ESPN",02/28/21,02/28/21,04:10 PM,06:10 PM,FALSE,TRUE,02/28/21,12:10 PM,02:10 PM,FREE,BUSY
03/02/21,01:10 PM,03:10 PM,Indians at Mariners,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/02/21,03/02/21,04:10 PM,06:10 PM,FALSE,TRUE,03/02/21,12:10 PM,02:10 PM,FREE,BUSY
03/03/21,12:05 PM,03:05 PM,Mariners at Cubs,Sloan Park - Mesa,"Local TV: ESPN ----- Local Radio: MLB.com",03/03/21,03/03/21,03:05 PM,06:05 PM,FALSE,TRUE,03/03/21,11:05 AM,02:05 PM,FREE,BUSY
03/04/21,01:10 PM,03:10 PM,Rockies at Mariners,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/04/21,03/04/21,04:10 PM,06:10 PM,FALSE,TRUE,03/04/21,12:10 PM,02:10 PM,FREE,BUSY
03/05/21,12:05 PM,03:05 PM,Mariners at White Sox,Camelback Ranch - Glendale,"Local Radio: 710 ESPN",03/05/21,03/05/21,03:05 PM,06:05 PM,FALSE,TRUE,03/05/21,11:05 AM,02:05 PM,FREE,BUSY
03/06/21,01:10 PM,03:10 PM,Athletics at Mariners,Peoria Stadium - Peoria,"",03/06/21,03/06/21,04:10 PM,06:10 PM,FALSE,TRUE,03/06/21,12:10 PM,02:10 PM,FREE,BUSY
03/07/21,12:10 PM,03:10 PM,Mariners at Angels,Tempe Diablo Stadium - Tempe,"Local Radio: 710 ESPN",03/07/21,03/07/21,03:10 PM,06:10 PM,FALSE,TRUE,03/07/21,11:10 AM,02:10 PM,FREE,BUSY
03/08/21,12:05 PM,03:05 PM,Mariners at Indians,Goodyear Ballpark - Goodyear,"Local Radio: MLB.com",03/08/21,03/08/21,03:05 PM,06:05 PM,FALSE,TRUE,03/08/21,11:05 AM,02:05 PM,FREE,BUSY
03/09/21,01:10 PM,03:10 PM,Royals at Mariners,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/09/21,03/09/21,04:10 PM,06:10 PM,FALSE,TRUE,03/09/21,12:10 PM,02:10 PM,FREE,BUSY
03/10/21,01:10 PM,03:10 PM,Rangers at Mariners,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/10/21,03/10/21,04:10 PM,06:10 PM,FALSE,TRUE,03/10/21,12:10 PM,02:10 PM,FREE,BUSY
03/11/21,05:05 PM,08:05 PM,Mariners at Dodgers,Camelback Ranch - Glendale,"",03/11/21,03/11/21,08:05 PM,11:05 PM,FALSE,TRUE,03/11/21,04:05 PM,07:05 PM,FREE,BUSY
