START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",02/26/22,02/26/22,04:05 PM,04:05 PM,FALSE,TRUE,02/26/22,12:05 PM,12:05 PM,FREE,BUSY
02/27/22,01:05 PM,01:05 PM,Marlins at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"",02/27/22,02/27/22,04:05 PM,04:05 PM,FALSE,TRUE,02/27/22,12:05 PM,12:05 PM,FREE,BUSY
02/28/22,01:05 PM,01:05 PM,Marlins at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"",02/28/22,02/28/22,04:05 PM,04:05 PM,FALSE,TRUE,02/28/22,12:05 PM,12:05 PM,FREE,BUSY
03/01/22,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/01/22,03/01/22,04:05 PM,04:05 PM,FALSE,TRUE,03/01/22,12:05 PM,12:05 PM,FREE,BUSY
03/02/22,01:05 PM,01:05 PM,Cardinals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/02/22,03/02/22,04:05 PM,04:05 PM,FALSE,TRUE,03/02/22,12:05 PM,12:05 PM,FREE,BUSY
03/03/22,01:10 PM,01:10 PM,Marlins at Mets,Clover Park - Port St. Lucie,"",03/03/22,03/03/22,04:10 PM,04:10 PM,FALSE,TRUE,03/03/22,12:10 PM,12:10 PM,FREE,BUSY
03/04/22,01:05 PM,01:05 PM,Marlins at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"",03/04/22,03/04/22,04:05 PM,04:05 PM,FALSE,TRUE,03/04/22,12:05 PM,12:05 PM,FREE,BUSY
03/05/22,01:05 PM,01:05 PM,Astros at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/05/22,03/05/22,04:05 PM,04:05 PM,FALSE,TRUE,03/05/22,12:05 PM,12:05 PM,FREE,BUSY
03/05/22,01:05 PM,01:05 PM,Marlins at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",03/05/22,03/05/22,04:05 PM,04:05 PM,FALSE,TRUE,03/05/22,12:05 PM,12:05 PM,FREE,BUSY
03/06/22,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/06/22,03/06/22,04:05 PM,04:05 PM,FALSE,TRUE,03/06/22,12:05 PM,12:05 PM,FREE,BUSY
03/07/22,06:05 PM,06:05 PM,Marlins at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"",03/07/22,03/07/22,09:05 PM,09:05 PM,FALSE,TRUE,03/07/22,05:05 PM,05:05 PM,FREE,BUSY
03/08/22,01:05 PM,01:05 PM,Astros at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/08/22,03/08/22,04:05 PM,04:05 PM,FALSE,TRUE,03/08/22,12:05 PM,12:05 PM,FREE,BUSY
03/10/22,01:10 PM,01:10 PM,Marlins at Mets,Clover Park - Port St. Lucie,"",03/10/22,03/10/22,04:10 PM,04:10 PM,FALSE,TRUE,03/10/22,12:10 PM,12:10 PM,FREE,BUSY
03/11/22,01:05 PM,01:05 PM,Cardinals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/11/22,03/11/22,04:05 PM,04:05 PM,FALSE,TRUE,03/11/22,12:05 PM,12:05 PM,FREE,BUSY
03/12/22,,,Marlins at Red Sox - Time TBD,JetBlue Park - Ft. Myers,"",03/12/22,03/12/22,,,FALSE,TRUE,03/12/22,,,FREE,BUSY
03/13/22,01:05 PM,01:05 PM,Marlins at Pirates,LECOM Park - Bradenton,"",03/13/22,03/13/22,04:05 PM,04:05 PM,FALSE,TRUE,03/13/22,12:05 PM,12:05 PM,FREE,BUSY
03/14/22,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/14/22,03/14/22,04:05 PM,04:05 PM,FALSE,TRUE,03/14/22,12:05 PM,12:05 PM,FREE,BUSY
03/15/22,01:05 PM,01:05 PM,Marlins at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",03/15/22,03/15/22,04:05 PM,04:05 PM,FALSE,TRUE,03/15/22,12:05 PM,12:05 PM,FREE,BUSY
03/16/22,01:05 PM,01:05 PM,Pirates at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/16/22,03/16/22,04:05 PM,04:05 PM,FALSE,TRUE,03/16/22,12:05 PM,12:05 PM,FREE,BUSY
03/17/22,01:05 PM,01:05 PM,Astros at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/17/22,03/17/22,04:05 PM,04:05 PM,FALSE,TRUE,03/17/22,12:05 PM,12:05 PM,FREE,BUSY
03/17/22,01:10 PM,01:10 PM,Marlins at Mets,Clover Park - Port St. Lucie,"",03/17/22,03/17/22,04:10 PM,04:10 PM,FALSE,TRUE,03/17/22,12:10 PM,12:10 PM,FREE,BUSY
03/18/22,06:05 PM,06:05 PM,Cardinals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/18/22,03/18/22,09:05 PM,09:05 PM,FALSE,TRUE,03/18/22,05:05 PM,05:05 PM,FREE,BUSY
03/19/22,07:05 PM,07:05 PM,Marlins at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",03/19/22,03/19/22,10:05 PM,10:05 PM,FALSE,TRUE,03/19/22,06:05 PM,06:05 PM,FREE,BUSY
03/20/22,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/20/22,03/20/22,04:05 PM,04:05 PM,FALSE,TRUE,03/20/22,12:05 PM,12:05 PM,FREE,BUSY
03/21/22,01:05 PM,01:05 PM,Marlins at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"",03/21/22,03/21/22,04:05 PM,04:05 PM,FALSE,TRUE,03/21/22,12:05 PM,12:05 PM,FREE,BUSY
03/22/22,01:05 PM,01:05 PM,Red Sox at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/22/22,03/22/22,04:05 PM,04:05 PM,FALSE,TRUE,03/22/22,12:05 PM,12:05 PM,FREE,BUSY
03/24/22,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/24/22,03/24/22,04:05 PM,04:05 PM,FALSE,TRUE,03/24/22,12:05 PM,12:05 PM,FREE,BUSY
03/25/22,06:05 PM,06:05 PM,Marlins at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"",03/25/22,03/25/22,09:05 PM,09:05 PM,FALSE,TRUE,03/25/22,05:05 PM,05:05 PM,FREE,BUSY
03/26/22,06:05 PM,06:05 PM,Mets at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",03/26/22,03/26/22,09:05 PM,09:05 PM,FALSE,TRUE,03/26/22,05:05 PM,05:05 PM,FREE,BUSY
03/27/22,01:05 PM,01:05 PM,Marlins at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"",03/27/22,03/27/22,04:05 PM,04:05 PM,FALSE,TRUE,03/27/22,12:05 PM,12:05 PM,FREE,BUSY
03/31/22,04:10 PM,04:10 PM,Braves at Marlins,loanDepot park - Miami,"",03/31/22,03/31/22,07:10 PM,07:10 PM,FALSE,TRUE,03/31/22,03:10 PM,03:10 PM,FREE,BUSY
04/01/22,06:40 PM,06:40 PM,Braves at Marlins,loanDepot park - Miami,"",04/01/22,04/01/22,09:40 PM,09:40 PM,FALSE,TRUE,04/01/22,05:40 PM,05:40 PM,FREE,BUSY
04/02/22,06:10 PM,06:10 PM,Braves at Marlins,loanDepot park - Miami,"",04/02/22,04/02/22,09:10 PM,09:10 PM,FALSE,TRUE,04/02/22,05:10 PM,05:10 PM,FREE,BUSY
04/03/22,01:10 PM,01:10 PM,Braves at Marlins,loanDepot park - Miami,"",04/03/22,04/03/22,04:10 PM,04:10 PM,FALSE,TRUE,04/03/22,12:10 PM,12:10 PM,FREE,BUSY
04/04/22,06:40 PM,06:40 PM,Rangers at Marlins,loanDepot park - Miami,"",04/04/22,04/04/22,09:40 PM,09:40 PM,FALSE,TRUE,04/04/22,05:40 PM,05:40 PM,FREE,BUSY
04/05/22,06:40 PM,06:40 PM,Rangers at Marlins,loanDepot park - Miami,"",04/05/22,04/05/22,09:40 PM,09:40 PM,FALSE,TRUE,04/05/22,05:40 PM,05:40 PM,FREE,BUSY
04/06/22,06:40 PM,06:40 PM,Rangers at Marlins,loanDepot park - Miami,"",04/06/22,04/06/22,09:40 PM,09:40 PM,FALSE,TRUE,04/06/22,05:40 PM,05:40 PM,FREE,BUSY
04/08/22,04:35 PM,04:35 PM,Marlins at Giants,Oracle Park - San Francisco,"",04/08/22,04/08/22,07:35 PM,07:35 PM,FALSE,TRUE,04/08/22,03:35 PM,03:35 PM,FREE,BUSY
