START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,,,Yankees at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",02/26/22,02/26/22,,,FALSE,TRUE,02/26/22,,,FREE,BUSY
02/27/22,,,Orioles at Rays - Time TBD,Charlotte Sports Park - Port Charlotte,"",02/27/22,02/27/22,,,FALSE,TRUE,02/27/22,,,FREE,BUSY
02/28/22,,,Pirates at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",02/28/22,02/28/22,,,FALSE,TRUE,02/28/22,,,FREE,BUSY
03/01/22,01:05 PM,01:05 PM,Orioles at Twins,Hammond Stadium - Fort Myers,"",03/01/22,03/01/22,04:05 PM,04:05 PM,FALSE,TRUE,03/01/22,12:05 PM,12:05 PM,FREE,BUSY
03/02/22,,,Red Sox at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/02/22,03/02/22,,,FALSE,TRUE,03/02/22,,,FREE,BUSY
03/03/22,,,Phillies at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/03/22,03/03/22,,,FALSE,TRUE,03/03/22,,,FREE,BUSY
03/04/22,06:35 PM,06:35 PM,Orioles at Yankees,George M. Steinbrenner Field - Tampa,"",03/04/22,03/04/22,09:35 PM,09:35 PM,FALSE,TRUE,03/04/22,05:35 PM,05:35 PM,FREE,BUSY
03/05/22,,,Orioles at Braves - Time TBD,CoolToday Park - North Port,"",03/05/22,03/05/22,,,FALSE,TRUE,03/05/22,,,FREE,BUSY
03/06/22,,,Rays at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/06/22,03/06/22,,,FALSE,TRUE,03/06/22,,,FREE,BUSY
03/07/22,,,Twins at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/07/22,03/07/22,,,FALSE,TRUE,03/07/22,,,FREE,BUSY
03/09/22,,,Tigers at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/09/22,03/09/22,,,FALSE,TRUE,03/09/22,,,FREE,BUSY
03/09/22,,,Orioles at Rays - Time TBD,Charlotte Sports Park - Port Charlotte,"",03/09/22,03/09/22,,,FALSE,TRUE,03/09/22,,,FREE,BUSY
03/10/22,,,Orioles at Red Sox - Time TBD,JetBlue Park - Ft. Myers,"",03/10/22,03/10/22,,,FALSE,TRUE,03/10/22,,,FREE,BUSY
03/11/22,,,Twins at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/11/22,03/11/22,,,FALSE,TRUE,03/11/22,,,FREE,BUSY
03/12/22,01:05 PM,01:05 PM,Orioles at Phillies,BayCare Ballpark - Clearwater,"",03/12/22,03/12/22,04:05 PM,04:05 PM,FALSE,TRUE,03/12/22,12:05 PM,12:05 PM,FREE,BUSY
03/13/22,,,Pirates at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/13/22,03/13/22,,,FALSE,TRUE,03/13/22,,,FREE,BUSY
03/14/22,06:35 PM,06:35 PM,Orioles at Yankees,George M. Steinbrenner Field - Tampa,"",03/14/22,03/14/22,09:35 PM,09:35 PM,FALSE,TRUE,03/14/22,05:35 PM,05:35 PM,FREE,BUSY
03/15/22,,,Orioles at Braves - Time TBD,CoolToday Park - North Port,"",03/15/22,03/15/22,,,FALSE,TRUE,03/15/22,,,FREE,BUSY
03/16/22,,,Rays at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/16/22,03/16/22,,,FALSE,TRUE,03/16/22,,,FREE,BUSY
03/17/22,01:05 PM,01:05 PM,Orioles at Phillies,BayCare Ballpark - Clearwater,"",03/17/22,03/17/22,04:05 PM,04:05 PM,FALSE,TRUE,03/17/22,12:05 PM,12:05 PM,FREE,BUSY
03/18/22,,,Braves at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/18/22,03/18/22,,,FALSE,TRUE,03/18/22,,,FREE,BUSY
03/18/22,06:05 PM,06:05 PM,Orioles at Pirates,LECOM Park - Bradenton,"",03/18/22,03/18/22,09:05 PM,09:05 PM,FALSE,TRUE,03/18/22,05:05 PM,05:05 PM,FREE,BUSY
03/19/22,,,Tigers at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/19/22,03/19/22,,,FALSE,TRUE,03/19/22,,,FREE,BUSY
03/20/22,,,Orioles at Red Sox - Time TBD,JetBlue Park - Ft. Myers,"",03/20/22,03/20/22,,,FALSE,TRUE,03/20/22,,,FREE,BUSY
03/21/22,,,Blue Jays at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/21/22,03/21/22,,,FALSE,TRUE,03/21/22,,,FREE,BUSY
03/22/22,,,Orioles at Tigers - Time TBD,Publix Field at Joker Marchant Stadium - Lakeland,"",03/22/22,03/22/22,,,FALSE,TRUE,03/22/22,,,FREE,BUSY
03/23/22,01:05 PM,01:05 PM,Orioles at Pirates,LECOM Park - Bradenton,"",03/23/22,03/23/22,04:05 PM,04:05 PM,FALSE,TRUE,03/23/22,12:05 PM,12:05 PM,FREE,BUSY
03/24/22,,,Phillies at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/24/22,03/24/22,,,FALSE,TRUE,03/24/22,,,FREE,BUSY
03/25/22,06:05 PM,06:05 PM,Orioles at Twins,Hammond Stadium - Fort Myers,"",03/25/22,03/25/22,09:05 PM,09:05 PM,FALSE,TRUE,03/25/22,05:05 PM,05:05 PM,FREE,BUSY
03/26/22,,,Red Sox at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/26/22,03/26/22,,,FALSE,TRUE,03/26/22,,,FREE,BUSY
03/27/22,01:07 PM,01:07 PM,Orioles at Blue Jays,TD Ballpark - Dunedin,"",03/27/22,03/27/22,04:07 PM,04:07 PM,FALSE,TRUE,03/27/22,12:07 PM,12:07 PM,FREE,BUSY
03/27/22,,,Pirates at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/27/22,03/27/22,,,FALSE,TRUE,03/27/22,,,FREE,BUSY
03/31/22,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",03/31/22,03/31/22,,,FALSE,TRUE,03/31/22,,,FREE,BUSY
04/02/22,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/02/22,04/02/22,,,FALSE,TRUE,04/02/22,,,FREE,BUSY
04/03/22,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/03/22,04/03/22,,,FALSE,TRUE,04/03/22,,,FREE,BUSY
04/04/22,,,Orioles at Red Sox - Time TBD,Fenway Park - Boston,"",04/04/22,04/04/22,,,FALSE,TRUE,04/04/22,,,FREE,BUSY
04/05/22,,,Orioles at Red Sox - Time TBD,Fenway Park - Boston,"",04/05/22,04/05/22,,,FALSE,TRUE,04/05/22,,,FREE,BUSY
04/06/22,,,Orioles at Red Sox - Time TBD,Fenway Park - Boston,"",04/06/22,04/06/22,,,FALSE,TRUE,04/06/22,,,FREE,BUSY
04/08/22,,,Orioles at Rays - Time TBD,Tropicana Field - St. Petersburg,"",04/08/22,04/08/22,,,FALSE,TRUE,04/08/22,,,FREE,BUSY
04/09/22,,,Orioles at Rays - Time TBD,Tropicana Field - St. Petersburg,"",04/09/22,04/09/22,,,FALSE,TRUE,04/09/22,,,FREE,BUSY
04/10/22,,,Orioles at Rays - Time TBD,Tropicana Field - St. Petersburg,"",04/10/22,04/10/22,,,FALSE,TRUE,04/10/22,,,FREE,BUSY
04/11/22,,,Brewers at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/11/22,04/11/22,,,FALSE,TRUE,04/11/22,,,FREE,BUSY
04/12/22,,,Brewers at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/12/22,04/12/22,,,FALSE,TRUE,04/12/22,,,FREE,BUSY
04/13/22,,,Brewers at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/13/22,04/13/22,,,FALSE,TRUE,04/13/22,,,FREE,BUSY
04/15/22,,,Yankees at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/15/22,04/15/22,,,FALSE,TRUE,04/15/22,,,FREE,BUSY
04/16/22,,,Yankees at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/16/22,04/16/22,,,FALSE,TRUE,04/16/22,,,FREE,BUSY
04/17/22,,,Yankees at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/17/22,04/17/22,,,FALSE,TRUE,04/17/22,,,FREE,BUSY
04/18/22,09:40 PM,09:40 PM,Orioles at Athletics,Oakland Coliseum - Oakland,"",04/19/22,04/19/22,12:40 AM,12:40 AM,FALSE,TRUE,04/18/22,08:40 PM,08:40 PM,FREE,BUSY
04/19/22,09:40 PM,09:40 PM,Orioles at Athletics,Oakland Coliseum - Oakland,"",04/20/22,04/20/22,12:40 AM,12:40 AM,FALSE,TRUE,04/19/22,08:40 PM,08:40 PM,FREE,BUSY
04/20/22,09:40 PM,09:40 PM,Orioles at Athletics,Oakland Coliseum - Oakland,"",04/21/22,04/21/22,12:40 AM,12:40 AM,FALSE,TRUE,04/20/22,08:40 PM,08:40 PM,FREE,BUSY
04/21/22,03:37 PM,03:37 PM,Orioles at Athletics,Oakland Coliseum - Oakland,"",04/21/22,04/21/22,06:37 PM,06:37 PM,FALSE,TRUE,04/21/22,02:37 PM,02:37 PM,FREE,BUSY
04/22/22,09:38 PM,09:38 PM,Orioles at Angels,Angel Stadium - Anaheim,"",04/23/22,04/23/22,12:38 AM,12:38 AM,FALSE,TRUE,04/22/22,08:38 PM,08:38 PM,FREE,BUSY
