START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,01:05 PM,01:05 PM,Rays at Pirates,LECOM Park - Bradenton,"",02/26/22,02/26/22,04:05 PM,04:05 PM,FALSE,TRUE,02/26/22,12:05 PM,12:05 PM,FREE,BUSY
02/27/22,,,Pirates at Braves - Time TBD,CoolToday Park - North Port,"",02/27/22,02/27/22,,,FALSE,TRUE,02/27/22,,,FREE,BUSY
02/27/22,01:05 PM,01:05 PM,Tigers at Pirates,LECOM Park - Bradenton,"",02/27/22,02/27/22,04:05 PM,04:05 PM,FALSE,TRUE,02/27/22,12:05 PM,12:05 PM,FREE,BUSY
02/28/22,01:05 PM,01:05 PM,Pirates at Orioles,Ed Smith Stadium - Sarasota,"",02/28/22,02/28/22,04:05 PM,04:05 PM,FALSE,TRUE,02/28/22,12:05 PM,12:05 PM,FREE,BUSY
03/01/22,01:05 PM,01:05 PM,Red Sox at Pirates,LECOM Park - Bradenton,"",03/01/22,03/01/22,04:05 PM,04:05 PM,FALSE,TRUE,03/01/22,12:05 PM,12:05 PM,FREE,BUSY
03/02/22,,,Pirates at Tigers - Time TBD,Publix Field at Joker Marchant Stadium - Lakeland,"",03/02/22,03/02/22,,,FALSE,TRUE,03/02/22,,,FREE,BUSY
03/03/22,01:05 PM,01:05 PM,Rays at Pirates,LECOM Park - Bradenton,"",03/03/22,03/03/22,04:05 PM,04:05 PM,FALSE,TRUE,03/03/22,12:05 PM,12:05 PM,FREE,BUSY
03/04/22,01:07 PM,01:07 PM,Pirates at Blue Jays,TD Ballpark - Dunedin,"",03/04/22,03/04/22,04:07 PM,04:07 PM,FALSE,TRUE,03/04/22,12:07 PM,12:07 PM,FREE,BUSY
03/05/22,01:05 PM,01:05 PM,Yankees at Pirates,LECOM Park - Bradenton,"",03/05/22,03/05/22,04:05 PM,04:05 PM,FALSE,TRUE,03/05/22,12:05 PM,12:05 PM,FREE,BUSY
03/06/22,01:05 PM,01:05 PM,Braves at Pirates,LECOM Park - Bradenton,"",03/06/22,03/06/22,04:05 PM,04:05 PM,FALSE,TRUE,03/06/22,12:05 PM,12:05 PM,FREE,BUSY
03/06/22,01:05 PM,01:05 PM,Pirates at Phillies,BayCare Ballpark - Clearwater,"",03/06/22,03/06/22,04:05 PM,04:05 PM,FALSE,TRUE,03/06/22,12:05 PM,12:05 PM,FREE,BUSY
