START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,02:05 PM,03:05 PM,Rangers at Royals,Surprise Stadium - Surprise,"",02/26/22,02/26/22,05:05 PM,06:05 PM,FALSE,TRUE,02/26/22,01:05 PM,02:05 PM,FREE,BUSY
02/27/22,02:05 PM,03:05 PM,Rangers at Reds,Goodyear Ballpark - Goodyear,"",02/27/22,02/27/22,05:05 PM,06:05 PM,FALSE,TRUE,02/27/22,01:05 PM,02:05 PM,FREE,BUSY
02/28/22,07:05 PM,09:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"",02/28/22,03/01/22,10:05 PM,12:05 AM,FALSE,TRUE,02/28/22,06:05 PM,08:05 PM,FREE,BUSY
03/01/22,01:05 PM,03:05 PM,Cubs at Rangers,Surprise Stadium - Surprise,"",03/01/22,03/01/22,04:05 PM,06:05 PM,FALSE,TRUE,03/01/22,12:05 PM,02:05 PM,FREE,BUSY
03/02/22,,,Rangers at D-backs - Time TBD,Salt River Fields at Talking Stick - Scottsdale,"",03/02/22,03/02/22,,,FALSE,TRUE,03/02/22,,,FREE,BUSY
03/03/22,01:05 PM,03:05 PM,Royals at Rangers,Surprise Stadium - Surprise,"",03/03/22,03/03/22,04:05 PM,06:05 PM,FALSE,TRUE,03/03/22,12:05 PM,02:05 PM,FREE,BUSY
03/04/22,08:05 PM,09:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,"",03/04/22,03/05/22,11:05 PM,12:05 AM,FALSE,TRUE,03/04/22,07:05 PM,08:05 PM,FREE,BUSY
03/05/22,01:05 PM,03:05 PM,Dodgers at Rangers,Surprise Stadium - Surprise,"",03/05/22,03/05/22,04:05 PM,06:05 PM,FALSE,TRUE,03/05/22,12:05 PM,02:05 PM,FREE,BUSY
03/06/22,02:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,"",03/06/22,03/06/22,05:05 PM,06:05 PM,FALSE,TRUE,03/06/22,01:05 PM,02:05 PM,FREE,BUSY
03/07/22,02:10 PM,03:10 PM,Rangers at Brewers,American Family Fields of Phoenix - Phoenix,"",03/07/22,03/07/22,05:10 PM,06:10 PM,FALSE,TRUE,03/07/22,01:10 PM,02:10 PM,FREE,BUSY
03/08/22,02:05 PM,03:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,"",03/08/22,03/08/22,05:05 PM,06:05 PM,FALSE,TRUE,03/08/22,01:05 PM,02:05 PM,FREE,BUSY
03/08/22,01:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,"",03/08/22,03/08/22,04:05 PM,06:05 PM,FALSE,TRUE,03/08/22,12:05 PM,02:05 PM,FREE,BUSY
03/10/22,01:05 PM,03:05 PM,Padres at Rangers,Surprise Stadium - Surprise,"",03/10/22,03/10/22,04:05 PM,06:05 PM,FALSE,TRUE,03/10/22,12:05 PM,02:05 PM,FREE,BUSY
