START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,,,Rockies at D-backs - Time TBD,Salt River Fields at Talking Stick - Scottsdale,"",02/26/22,02/26/22,,,FALSE,TRUE,02/26/22,,,FREE,BUSY
02/27/22,01:10 PM,03:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",02/27/22,02/27/22,04:10 PM,06:10 PM,FALSE,TRUE,02/27/22,12:10 PM,02:10 PM,FREE,BUSY
02/28/22,07:05 PM,09:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"",02/28/22,03/01/22,10:05 PM,12:05 AM,FALSE,TRUE,02/28/22,06:05 PM,08:05 PM,FREE,BUSY
03/01/22,01:10 PM,03:10 PM,Guardians at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/01/22,03/01/22,04:10 PM,06:10 PM,FALSE,TRUE,03/01/22,12:10 PM,02:10 PM,FREE,BUSY
03/02/22,01:05 PM,03:05 PM,Rockies at Dodgers,Camelback Ranch - Glendale,"",03/02/22,03/02/22,04:05 PM,06:05 PM,FALSE,TRUE,03/02/22,12:05 PM,02:05 PM,FREE,BUSY
03/03/22,01:10 PM,03:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/03/22,03/03/22,04:10 PM,06:10 PM,FALSE,TRUE,03/03/22,12:10 PM,02:10 PM,FREE,BUSY
03/04/22,01:05 PM,03:05 PM,Rockies at Reds,Goodyear Ballpark - Goodyear,"",03/04/22,03/04/22,04:05 PM,06:05 PM,FALSE,TRUE,03/04/22,12:05 PM,02:05 PM,FREE,BUSY
03/05/22,01:05 PM,03:05 PM,Rockies at Giants,Scottsdale Stadium - Scottsdale,"",03/05/22,03/05/22,04:05 PM,06:05 PM,FALSE,TRUE,03/05/22,12:05 PM,02:05 PM,FREE,BUSY
03/06/22,01:10 PM,03:10 PM,Padres at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/06/22,03/06/22,04:10 PM,06:10 PM,FALSE,TRUE,03/06/22,12:10 PM,02:10 PM,FREE,BUSY
03/07/22,01:10 PM,03:10 PM,Cubs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/07/22,03/07/22,04:10 PM,06:10 PM,FALSE,TRUE,03/07/22,12:10 PM,02:10 PM,FREE,BUSY
03/08/22,01:05 PM,03:05 PM,Rockies at Guardians,Goodyear Ballpark - Goodyear,"",03/08/22,03/08/22,04:05 PM,06:05 PM,FALSE,TRUE,03/08/22,12:05 PM,02:05 PM,FREE,BUSY
03/09/22,01:10 PM,03:10 PM,Reds at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/09/22,03/09/22,04:10 PM,06:10 PM,FALSE,TRUE,03/09/22,12:10 PM,02:10 PM,FREE,BUSY
03/10/22,01:10 PM,03:10 PM,Rockies at Angels,Tempe Diablo Stadium - Tempe,"",03/10/22,03/10/22,04:10 PM,06:10 PM,FALSE,TRUE,03/10/22,12:10 PM,02:10 PM,FREE,BUSY
03/11/22,01:10 PM,03:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/11/22,03/11/22,04:10 PM,06:10 PM,FALSE,TRUE,03/11/22,12:10 PM,02:10 PM,FREE,BUSY
03/12/22,01:10 PM,03:10 PM,Athletics at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/12/22,03/12/22,04:10 PM,06:10 PM,FALSE,TRUE,03/12/22,12:10 PM,02:10 PM,FREE,BUSY
03/13/22,02:05 PM,04:05 PM,Rockies at White Sox,Camelback Ranch - Glendale,"",03/13/22,03/13/22,05:05 PM,07:05 PM,FALSE,TRUE,03/13/22,01:05 PM,03:05 PM,FREE,BUSY
03/14/22,02:05 PM,04:05 PM,Rockies at Cubs,Sloan Park - Mesa,"",03/14/22,03/14/22,05:05 PM,07:05 PM,FALSE,TRUE,03/14/22,01:05 PM,03:05 PM,FREE,BUSY
03/15/22,07:05 PM,09:05 PM,Rockies at Royals,Surprise Stadium - Surprise,"",03/15/22,03/16/22,10:05 PM,12:05 AM,FALSE,TRUE,03/15/22,06:05 PM,08:05 PM,FREE,BUSY
03/15/22,01:10 PM,04:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/15/22,03/15/22,04:10 PM,07:10 PM,FALSE,TRUE,03/15/22,12:10 PM,03:10 PM,FREE,BUSY
03/17/22,01:10 PM,04:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/17/22,03/17/22,04:10 PM,07:10 PM,FALSE,TRUE,03/17/22,12:10 PM,03:10 PM,FREE,BUSY
03/18/22,02:05 PM,04:05 PM,Rockies at Athletics,Hohokam Stadium - Mesa,"",03/18/22,03/18/22,05:05 PM,07:05 PM,FALSE,TRUE,03/18/22,01:05 PM,03:05 PM,FREE,BUSY
03/19/22,02:10 PM,04:10 PM,Rockies at Mariners,Peoria Stadium - Peoria,"",03/19/22,03/19/22,05:10 PM,07:10 PM,FALSE,TRUE,03/19/22,01:10 PM,03:10 PM,FREE,BUSY
03/20/22,01:10 PM,04:10 PM,White Sox at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/20/22,03/20/22,04:10 PM,07:10 PM,FALSE,TRUE,03/20/22,12:10 PM,03:10 PM,FREE,BUSY
03/21/22,01:10 PM,04:10 PM,Dodgers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/21/22,03/21/22,04:10 PM,07:10 PM,FALSE,TRUE,03/21/22,12:10 PM,03:10 PM,FREE,BUSY
03/22/22,02:10 PM,04:10 PM,Rockies at Brewers,American Family Fields of Phoenix - Phoenix,"",03/22/22,03/22/22,05:10 PM,07:10 PM,FALSE,TRUE,03/22/22,01:10 PM,03:10 PM,FREE,BUSY
03/23/22,01:10 PM,04:10 PM,Angels at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/23/22,03/23/22,04:10 PM,07:10 PM,FALSE,TRUE,03/23/22,12:10 PM,03:10 PM,FREE,BUSY
03/25/22,06:10 PM,09:10 PM,Royals at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/25/22,03/26/22,09:10 PM,12:10 AM,FALSE,TRUE,03/25/22,05:10 PM,08:10 PM,FREE,BUSY
03/25/22,07:40 PM,09:40 PM,Rockies at Padres,Peoria Stadium - Peoria,"",03/25/22,03/26/22,10:40 PM,12:40 AM,FALSE,TRUE,03/25/22,06:40 PM,08:40 PM,FREE,BUSY
03/26/22,01:10 PM,04:10 PM,Giants at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/26/22,03/26/22,04:10 PM,07:10 PM,FALSE,TRUE,03/26/22,12:10 PM,03:10 PM,FREE,BUSY
03/27/22,,,Rockies at D-backs - Time TBD,Salt River Fields at Talking Stick - Scottsdale,"",03/27/22,03/27/22,,,FALSE,TRUE,03/27/22,,,FREE,BUSY
03/28/22,12:10 PM,03:10 PM,Reds at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/28/22,03/28/22,03:10 PM,06:10 PM,FALSE,TRUE,03/28/22,11:10 AM,02:10 PM,FREE,BUSY
03/31/22,,,Rockies at Dodgers - Time TBD,Dodger Stadium - Los Angeles,"",03/31/22,03/31/22,,,FALSE,TRUE,03/31/22,,,FREE,BUSY
04/01/22,,,Rockies at Dodgers - Time TBD,Dodger Stadium - Los Angeles,"",04/01/22,04/01/22,,,FALSE,TRUE,04/01/22,,,FREE,BUSY
04/02/22,,,Rockies at Dodgers - Time TBD,Dodger Stadium - Los Angeles,"Local TV: FS1",04/02/22,04/02/22,,,FALSE,TRUE,04/02/22,,,FREE,BUSY
04/03/22,,,Rockies at Dodgers - Time TBD,Dodger Stadium - Los Angeles,"",04/03/22,04/03/22,,,FALSE,TRUE,04/03/22,,,FREE,BUSY
04/05/22,07:40 PM,09:40 PM,Rockies at Padres,Petco Park - San Diego,"",04/05/22,04/06/22,10:40 PM,12:40 AM,FALSE,TRUE,04/05/22,06:40 PM,08:40 PM,FREE,BUSY
04/06/22,06:40 PM,08:40 PM,Rockies at Padres,Petco Park - San Diego,"",04/06/22,04/06/22,09:40 PM,11:40 PM,FALSE,TRUE,04/06/22,05:40 PM,07:40 PM,FREE,BUSY
04/08/22,02:10 PM,04:10 PM,Dodgers at Rockies,Coors Field - Denver,"",04/08/22,04/08/22,05:10 PM,07:10 PM,FALSE,TRUE,04/08/22,01:10 PM,03:10 PM,FREE,BUSY
04/09/22,06:10 PM,08:10 PM,Dodgers at Rockies,Coors Field - Denver,"",04/09/22,04/09/22,09:10 PM,11:10 PM,FALSE,TRUE,04/09/22,05:10 PM,07:10 PM,FREE,BUSY
04/10/22,01:10 PM,03:10 PM,Dodgers at Rockies,Coors Field - Denver,"",04/10/22,04/10/22,04:10 PM,06:10 PM,FALSE,TRUE,04/10/22,12:10 PM,02:10 PM,FREE,BUSY
04/11/22,06:05 PM,08:05 PM,Rockies at Rangers,Globe Life Field - Arlington,"",04/11/22,04/11/22,09:05 PM,11:05 PM,FALSE,TRUE,04/11/22,05:05 PM,07:05 PM,FREE,BUSY
04/12/22,06:05 PM,08:05 PM,Rockies at Rangers,Globe Life Field - Arlington,"",04/12/22,04/12/22,09:05 PM,11:05 PM,FALSE,TRUE,04/12/22,05:05 PM,07:05 PM,FREE,BUSY
04/14/22,06:40 PM,08:40 PM,Cubs at Rockies,Coors Field - Denver,"",04/14/22,04/14/22,09:40 PM,11:40 PM,FALSE,TRUE,04/14/22,05:40 PM,07:40 PM,FREE,BUSY
04/15/22,06:40 PM,08:40 PM,Cubs at Rockies,Coors Field - Denver,"",04/15/22,04/15/22,09:40 PM,11:40 PM,FALSE,TRUE,04/15/22,05:40 PM,07:40 PM,FREE,BUSY
04/16/22,06:10 PM,08:10 PM,Cubs at Rockies,Coors Field - Denver,"",04/16/22,04/16/22,09:10 PM,11:10 PM,FALSE,TRUE,04/16/22,05:10 PM,07:10 PM,FREE,BUSY
