START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/31/22,,,Twins at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",03/31/22,03/31/22,,,FALSE,TRUE,03/31/22,,,FREE,BUSY
04/02/22,,,Twins at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",04/02/22,04/02/22,,,FALSE,TRUE,04/02/22,,,FREE,BUSY
04/03/22,,,Twins at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",04/03/22,04/03/22,,,FALSE,TRUE,04/03/22,,,FREE,BUSY
04/04/22,,,White Sox at Royals - Time TBD,Kauffman Stadium - Kansas City,"",04/04/22,04/04/22,,,FALSE,TRUE,04/04/22,,,FREE,BUSY
04/06/22,,,White Sox at Royals - Time TBD,Kauffman Stadium - Kansas City,"",04/06/22,04/06/22,,,FALSE,TRUE,04/06/22,,,FREE,BUSY
04/07/22,,,White Sox at Royals - Time TBD,Kauffman Stadium - Kansas City,"",04/07/22,04/07/22,,,FALSE,TRUE,04/07/22,,,FREE,BUSY
04/08/22,12:10 PM,01:10 PM,White Sox at Tigers,Comerica Park - Detroit,"",04/08/22,04/08/22,03:10 PM,04:10 PM,FALSE,TRUE,04/08/22,11:10 AM,12:10 PM,FREE,BUSY
04/09/22,12:10 PM,01:10 PM,White Sox at Tigers,Comerica Park - Detroit,"",04/09/22,04/09/22,03:10 PM,04:10 PM,FALSE,TRUE,04/09/22,11:10 AM,12:10 PM,FREE,BUSY
04/10/22,12:10 PM,01:10 PM,White Sox at Tigers,Comerica Park - Detroit,"",04/10/22,04/10/22,03:10 PM,04:10 PM,FALSE,TRUE,04/10/22,11:10 AM,12:10 PM,FREE,BUSY
04/12/22,,,Mariners at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",04/12/22,04/12/22,,,FALSE,TRUE,04/12/22,,,FREE,BUSY
04/13/22,,,Mariners at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",04/13/22,04/13/22,,,FALSE,TRUE,04/13/22,,,FREE,BUSY
04/14/22,,,Mariners at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",04/14/22,04/14/22,,,FALSE,TRUE,04/14/22,,,FREE,BUSY
04/15/22,,,Rays at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",04/15/22,04/15/22,,,FALSE,TRUE,04/15/22,,,FREE,BUSY
04/16/22,,,Rays at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",04/16/22,04/16/22,,,FALSE,TRUE,04/16/22,,,FREE,BUSY
04/17/22,,,Rays at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",04/17/22,04/17/22,,,FALSE,TRUE,04/17/22,,,FREE,BUSY
04/18/22,,,White Sox at Guardians - Time TBD,Progressive Field - Cleveland,"",04/18/22,04/18/22,,,FALSE,TRUE,04/18/22,,,FREE,BUSY
04/19/22,,,White Sox at Guardians - Time TBD,Progressive Field - Cleveland,"",04/19/22,04/19/22,,,FALSE,TRUE,04/19/22,,,FREE,BUSY
