START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/22,01:05 PM,01:05 PM,Yankees at Orioles,Ed Smith Stadium - Sarasota,"",02/26/22,02/26/22,04:05 PM,04:05 PM,FALSE,TRUE,02/26/22,12:05 PM,12:05 PM,FREE,BUSY
02/26/22,01:05 PM,01:05 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,"",02/26/22,02/26/22,04:05 PM,04:05 PM,FALSE,TRUE,02/26/22,12:05 PM,12:05 PM,FREE,BUSY
02/27/22,,,Yankees at Red Sox - Time TBD,JetBlue Park - Ft. Myers,"",02/27/22,02/27/22,,,FALSE,TRUE,02/27/22,,,FREE,BUSY
02/28/22,06:35 PM,06:35 PM,Blue Jays at Yankees,George M. Steinbrenner Field - Tampa,"",02/28/22,02/28/22,09:35 PM,09:35 PM,FALSE,TRUE,02/28/22,05:35 PM,05:35 PM,FREE,BUSY
03/01/22,01:05 PM,01:05 PM,Rays at Yankees,George M. Steinbrenner Field - Tampa,"",03/01/22,03/01/22,04:05 PM,04:05 PM,FALSE,TRUE,03/01/22,12:05 PM,12:05 PM,FREE,BUSY
03/02/22,01:05 PM,01:05 PM,Yankees at Phillies,BayCare Ballpark - Clearwater,"",03/02/22,03/02/22,04:05 PM,04:05 PM,FALSE,TRUE,03/02/22,12:05 PM,12:05 PM,FREE,BUSY
03/03/22,01:07 PM,01:07 PM,Yankees at Blue Jays,TD Ballpark - Dunedin,"",03/03/22,03/03/22,04:07 PM,04:07 PM,FALSE,TRUE,03/03/22,12:07 PM,12:07 PM,FREE,BUSY
03/04/22,06:35 PM,06:35 PM,Orioles at Yankees,George M. Steinbrenner Field - Tampa,"",03/04/22,03/04/22,09:35 PM,09:35 PM,FALSE,TRUE,03/04/22,05:35 PM,05:35 PM,FREE,BUSY
03/05/22,01:05 PM,01:05 PM,Yankees at Pirates,LECOM Park - Bradenton,"",03/05/22,03/05/22,04:05 PM,04:05 PM,FALSE,TRUE,03/05/22,12:05 PM,12:05 PM,FREE,BUSY
03/05/22,01:05 PM,01:05 PM,Cardinals at Yankees,George M. Steinbrenner Field - Tampa,"",03/05/22,03/05/22,04:05 PM,04:05 PM,FALSE,TRUE,03/05/22,12:05 PM,12:05 PM,FREE,BUSY
03/06/22,01:05 PM,01:05 PM,Yankees at Twins,Hammond Stadium - Fort Myers,"",03/06/22,03/06/22,04:05 PM,04:05 PM,FALSE,TRUE,03/06/22,12:05 PM,12:05 PM,FREE,BUSY
03/07/22,01:05 PM,01:05 PM,Red Sox at Yankees,George M. Steinbrenner Field - Tampa,"",03/07/22,03/07/22,04:05 PM,04:05 PM,FALSE,TRUE,03/07/22,12:05 PM,12:05 PM,FREE,BUSY
03/09/22,06:35 PM,06:35 PM,Blue Jays at Yankees,George M. Steinbrenner Field - Tampa,"",03/09/22,03/09/22,09:35 PM,09:35 PM,FALSE,TRUE,03/09/22,05:35 PM,05:35 PM,FREE,BUSY
03/10/22,01:05 PM,01:05 PM,Yankees at Phillies,BayCare Ballpark - Clearwater,"",03/10/22,03/10/22,04:05 PM,04:05 PM,FALSE,TRUE,03/10/22,12:05 PM,12:05 PM,FREE,BUSY
03/11/22,06:35 PM,06:35 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,"",03/11/22,03/11/22,09:35 PM,09:35 PM,FALSE,TRUE,03/11/22,05:35 PM,05:35 PM,FREE,BUSY
03/12/22,01:05 PM,01:05 PM,Pirates at Yankees,George M. Steinbrenner Field - Tampa,"",03/12/22,03/12/22,04:05 PM,04:05 PM,FALSE,TRUE,03/12/22,12:05 PM,12:05 PM,FREE,BUSY
03/13/22,,,Yankees at Braves - Time TBD,CoolToday Park - North Port,"",03/13/22,03/13/22,,,FALSE,TRUE,03/13/22,,,FREE,BUSY
03/14/22,06:35 PM,06:35 PM,Orioles at Yankees,George M. Steinbrenner Field - Tampa,"",03/14/22,03/14/22,09:35 PM,09:35 PM,FALSE,TRUE,03/14/22,05:35 PM,05:35 PM,FREE,BUSY
03/15/22,,,Yankees at Tigers - Time TBD,Publix Field at Joker Marchant Stadium - Lakeland,"",03/15/22,03/15/22,,,FALSE,TRUE,03/15/22,,,FREE,BUSY
03/16/22,01:05 PM,01:05 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,"",03/16/22,03/16/22,04:05 PM,04:05 PM,FALSE,TRUE,03/16/22,12:05 PM,12:05 PM,FREE,BUSY
03/17/22,01:07 PM,01:07 PM,Yankees at Blue Jays,TD Ballpark - Dunedin,"",03/17/22,03/17/22,04:07 PM,04:07 PM,FALSE,TRUE,03/17/22,12:07 PM,12:07 PM,FREE,BUSY
03/17/22,01:05 PM,01:05 PM,Braves at Yankees,George M. Steinbrenner Field - Tampa,"",03/17/22,03/17/22,04:05 PM,04:05 PM,FALSE,TRUE,03/17/22,12:05 PM,12:05 PM,FREE,BUSY
03/18/22,01:05 PM,01:05 PM,Yankees at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"",03/18/22,03/18/22,04:05 PM,04:05 PM,FALSE,TRUE,03/18/22,12:05 PM,12:05 PM,FREE,BUSY
03/19/22,01:05 PM,01:05 PM,Yankees at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"",03/19/22,03/19/22,04:05 PM,04:05 PM,FALSE,TRUE,03/19/22,12:05 PM,12:05 PM,FREE,BUSY
03/20/22,01:05 PM,01:05 PM,Twins at Yankees,George M. Steinbrenner Field - Tampa,"",03/20/22,03/20/22,04:05 PM,04:05 PM,FALSE,TRUE,03/20/22,12:05 PM,12:05 PM,FREE,BUSY
03/21/22,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,"",03/21/22,03/21/22,04:05 PM,04:05 PM,FALSE,TRUE,03/21/22,12:05 PM,12:05 PM,FREE,BUSY
03/22/22,01:05 PM,01:05 PM,Yankees at Phillies,BayCare Ballpark - Clearwater,"",03/22/22,03/22/22,04:05 PM,04:05 PM,FALSE,TRUE,03/22/22,12:05 PM,12:05 PM,FREE,BUSY
03/24/22,,,Yankees at Rays - Time TBD,Charlotte Sports Park - Port Charlotte,"",03/24/22,03/24/22,,,FALSE,TRUE,03/24/22,,,FREE,BUSY
03/25/22,01:05 PM,01:05 PM,Nationals at Yankees,George M. Steinbrenner Field - Tampa,"",03/25/22,03/25/22,04:05 PM,04:05 PM,FALSE,TRUE,03/25/22,12:05 PM,12:05 PM,FREE,BUSY
03/26/22,06:07 PM,06:07 PM,Yankees at Blue Jays,TD Ballpark - Dunedin,"",03/26/22,03/26/22,09:07 PM,09:07 PM,FALSE,TRUE,03/26/22,05:07 PM,05:07 PM,FREE,BUSY
03/26/22,01:05 PM,01:05 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,"",03/26/22,03/26/22,04:05 PM,04:05 PM,FALSE,TRUE,03/26/22,12:05 PM,12:05 PM,FREE,BUSY
03/27/22,,,Yankees at Tigers - Time TBD,Publix Field at Joker Marchant Stadium - Lakeland,"",03/27/22,03/27/22,,,FALSE,TRUE,03/27/22,,,FREE,BUSY
03/28/22,01:10 PM,01:10 PM,Yankees at Mets,Clover Park - Port St. Lucie,"",03/28/22,03/28/22,04:10 PM,04:10 PM,FALSE,TRUE,03/28/22,12:10 PM,12:10 PM,FREE,BUSY
03/29/22,01:05 PM,01:05 PM,Mets at Yankees,George M. Steinbrenner Field - Tampa,"",03/29/22,03/29/22,04:05 PM,04:05 PM,FALSE,TRUE,03/29/22,12:05 PM,12:05 PM,FREE,BUSY
03/31/22,04:05 PM,04:05 PM,Yankees at Rangers,Globe Life Field - Arlington,"",03/31/22,03/31/22,07:05 PM,07:05 PM,FALSE,TRUE,03/31/22,03:05 PM,03:05 PM,FREE,BUSY
04/01/22,08:05 PM,08:05 PM,Yankees at Rangers,Globe Life Field - Arlington,"",04/01/22,04/01/22,11:05 PM,11:05 PM,FALSE,TRUE,04/01/22,07:05 PM,07:05 PM,FREE,BUSY
04/02/22,02:35 PM,02:35 PM,Yankees at Rangers,Globe Life Field - Arlington,"",04/02/22,04/02/22,05:35 PM,05:35 PM,FALSE,TRUE,04/02/22,01:35 PM,01:35 PM,FREE,BUSY
04/03/22,02:35 PM,02:35 PM,Yankees at Rangers,Globe Life Field - Arlington,"",04/03/22,04/03/22,05:35 PM,05:35 PM,FALSE,TRUE,04/03/22,01:35 PM,01:35 PM,FREE,BUSY
04/04/22,,,Yankees at Astros - Time TBD,Minute Maid Park - Houston,"",04/04/22,04/04/22,,,FALSE,TRUE,04/04/22,,,FREE,BUSY
04/05/22,,,Yankees at Astros - Time TBD,Minute Maid Park - Houston,"",04/05/22,04/05/22,,,FALSE,TRUE,04/05/22,,,FREE,BUSY
04/06/22,,,Yankees at Astros - Time TBD,Minute Maid Park - Houston,"",04/06/22,04/06/22,,,FALSE,TRUE,04/06/22,,,FREE,BUSY
04/07/22,01:05 PM,01:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"",04/07/22,04/07/22,04:05 PM,04:05 PM,FALSE,TRUE,04/07/22,12:05 PM,12:05 PM,FREE,BUSY
04/09/22,,,Red Sox at Yankees - Time TBD,Yankee Stadium - Bronx,"Local TV: FS1",04/09/22,04/09/22,,,FALSE,TRUE,04/09/22,,,FREE,BUSY
04/10/22,,,Red Sox at Yankees - Time TBD,Yankee Stadium - Bronx,"",04/10/22,04/10/22,,,FALSE,TRUE,04/10/22,,,FREE,BUSY
04/11/22,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/11/22,04/11/22,10:05 PM,10:05 PM,FALSE,TRUE,04/11/22,06:05 PM,06:05 PM,FREE,BUSY
04/12/22,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/12/22,04/12/22,10:05 PM,10:05 PM,FALSE,TRUE,04/12/22,06:05 PM,06:05 PM,FREE,BUSY
04/13/22,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/13/22,04/13/22,10:05 PM,10:05 PM,FALSE,TRUE,04/13/22,06:05 PM,06:05 PM,FREE,BUSY
04/14/22,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/14/22,04/14/22,10:05 PM,10:05 PM,FALSE,TRUE,04/14/22,06:05 PM,06:05 PM,FREE,BUSY
04/15/22,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/15/22,04/15/22,10:05 PM,10:05 PM,FALSE,TRUE,04/15/22,06:05 PM,06:05 PM,FREE,BUSY
04/16/22,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/16/22,04/16/22,10:05 PM,10:05 PM,FALSE,TRUE,04/16/22,06:05 PM,06:05 PM,FREE,BUSY
04/17/22,01:05 PM,01:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/17/22,04/17/22,04:05 PM,04:05 PM,FALSE,TRUE,04/17/22,12:05 PM,12:05 PM,FREE,BUSY
04/19/22,06:40 PM,06:40 PM,Yankees at Tigers,Comerica Park - Detroit,"",04/19/22,04/19/22,09:40 PM,09:40 PM,FALSE,TRUE,04/19/22,05:40 PM,05:40 PM,FREE,BUSY
